school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
3051001-rj1,10,1,9,3
3051032-rj32,3,3,7,6
3051010-rj10,6,0,6,0
3051025-rj25,6,0,2,4
3051036-rj36,4,0,4,2
3051006-rj6,2,0,5,2
3051031-rj31,0,3,4,2
3051033-rj33,0,0,6,1
3051049-rj49,0,2,2,2
3051023-rj23,3,0,2,0
3051044-rj44,3,0,1,0
3051030-rj30,0,0,2,2
3051026-rj26,1,0,1,1
3051045-rj45,2,0,1,0
3051047-rj47,2,0,1,0
3051005-rj5,1,0,1,0
3051002-rj2,1,0,1,0
3051015-rj15,0,0,1,0
3051022-rj22,0,0,1,0
3051019-rj19,0,0,1,0
3051011-rj11,0,0,1,0
3051014-rj14,0,0,1,0
3051004-rj4,0,0,1,0
