school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
3051001-rj1,0.0,0.0,9.0,2.0
3051032-rj32,0.0,3.0,2.0,4.0
3051010-rj10,0.0,1.0,2.0,1.0
3051025-rj25,0.0,0.0,1.0,0.0
3051036-rj36,0.0,0.0,4.0,2.0
3051006-rj6,0.0,3.0,2.0,2.0
3051031-rj31,0.0,5.0,5.0,3.0
3051033-rj33,0.0,0.0,2.0,0.0
3051049-rj49,0.0,0.0,0.0,2.0
3051023-rj23,0.0,0.0,1.0,0.0
3051044-rj44,0.0,0.0,0.0,2.0
3051030-rj30,0.0,0.0,2.0,0.0
3051026-rj26,0.0,0.0,3.0,5.0
3051045-rj45,0.0,0.0,2.0,0.0
3051047-rj47,0.0,0.0,2.0,1.0
3051005-rj5,0.0,0.0,0.0,0.0
3051002-rj2,0.0,0.0,1.0,2.0
3051015-rj15,0.0,0.0,0.0,1.0
3051022-rj22,0.0,1.0,2.0,4.0
3051019-rj19,0.0,0.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,2.0
3051014-rj14,0.0,0.0,0.0,0.0
3051004-rj4,0.0,0.0,3.0,3.0
