school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
4202034-tg234,6,9,16,7
4202083-tg283,6,3,22,7
4152031-tg231,7,1,22,5
4152012-tg212,18,0,7,2
4202010-tg210,5,2,16,1
4202059-tg259,11,1,8,2
4152072-tg272,5,0,8,3
4152038-tg238,12,0,2,0
4152033-tg233,12,0,1,0
4202004-tg204,2,2,6,2
4152023-tg223,9,0,2,0
4202003-tg203,7,2,2,0
4202032-tg232,3,0,7,0
4112062-tg262,9,0,1,0
4112043-tg243,5,0,4,0
4152049-tg249,4,0,5,0
4152013-tg213,0,0,8,0
4192099-tg299,2,0,5,0
4152030-tg230,4,0,2,0
4152002-tg202,0,0,5,1
4152035-tg235,0,0,4,2
4112085-tg285,2,0,4,0
4152017-tg217,0,1,3,1
4202074-tg274,2,0,3,0
4152092-tg292,1,0,4,0
4152041-tg241,0,1,4,0
4152015-tg215,0,0,1,1
4152091-tg291,0,0,1,0
