school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
4202083-tg283,0.0,0.0,4.0,0.0
4202034-tg234,0.0,1.0,6.0,0.0
4202059-tg259,0.0,0.0,0.0,0.0
4202003-tg203,0.0,0.0,0.0,0.0
4202032-tg232,0.0,0.0,0.0,0.0
4112062-tg262,0.0,0.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,2.0
4112085-tg285,0.0,0.0,1.0,0.0
4152049-tg249,0.0,0.0,1.0,0.0
4152030-tg230,0.0,0.0,0.0,0.0
4152041-tg241,0.0,1.0,1.0,0.0
4152072-tg272,0.0,0.0,0.0,0.0
4202010-tg210,0.0,0.0,5.0,0.0
4152002-tg202,0.0,0.0,2.0,0.0
4192099-tg299,0.0,0.0,2.0,0.0
4202074-tg274,0.0,0.0,1.0,0.0
4152017-tg217,0.0,1.0,1.0,0.0
4112043-tg243,0.0,0.0,2.0,0.0
4152033-tg233,0.0,0.0,0.0,0.0
4202004-tg204,0.0,0.0,1.0,0.0
4152013-tg213,0.0,0.0,3.0,0.0
4152031-tg231,0.0,2.0,10.0,1.0
4152035-tg235,0.0,0.0,3.0,1.0
4152092-tg292,0.0,0.0,1.0,0.0
4152091-tg291,0.0,0.0,0.0,0.0
