school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
2031020-mz20,2.0,0.0,3.0,0.0
2031007-mz7,0.0,0.0,0.0,0.0
2031030-mz30,0.0,0.0,0.0,0.0
2031005-mz5,0.0,0.0,0.0,0.0
2031012-mz12,0.0,0.0,0.0,0.0
2031003-mz3,0.0,0.0,0.0,0.0
2031008-mz8,0.0,0.0,0.0,0.0
2031029-mz29,0.0,0.0,1.0,1.0
2031027-mz27,0.0,0.0,0.0,0.0
2031017-mz17,2.0,0.0,4.0,0.0
2031022-mz22,0.0,0.0,0.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0
2031002-mz2,1.0,0.0,2.0,0.0
2031028-mz28,0.0,0.0,0.0,0.0
2031021-mz21,1.0,0.0,1.0,0.0
2031010-mz10,0.0,0.0,0.0,0.0
