school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
3072043-rj93,17,0,2,0
3072042-rj92,16,0,3,0
3072029-rj79,14,0,1,0
3072012-rj62,7,0,5,0
3072006-rj56,8,0,1,1
3072031-rj81,6,0,2,1
3072002-rj52,2,0,6,0
3072024-rj74,1,1,5,0
3072032-rj82,4,0,3,0
3072023-rj73,0,0,3,4
3072026-rj76,1,0,6,0
3072014-rj64,5,0,1,0
3072003-rj53,1,0,5,0
3072050-rj100,1,1,4,0
3072049-rj99,0,0,5,1
3072028-rj78,2,0,2,0
3072033-rj83,2,0,2,0
3072041-rj91,0,2,3,0
3072036-rj86,1,0,3,0
3072015-rj65,1,0,3,0
3072019-rj69,0,1,2,0
3072048-rj98,2,0,1,0
3072030-rj80,0,0,3,0
3072034-rj84,1,0,2,0
3072046-rj96,0,1,2,0
3072025-rj75,0,0,2,0
3072047-rj97,1,0,1,0
3072044-rj94,1,0,1,0
3072008-rj58,0,0,2,0
3072027-rj77,0,0,1,0
3072018-rj68,0,0,1,0
3072013-rj63,0,0,1,0
3072016-rj66,0,0,1,0
3072022-rj72,0,0,1,0
