school_server_code,stud_vist_activit_year_e,stud_vist_activit_year_m,stud_vist_activit_year_s
-ct31,1,0,2
-ct32,0,1,2
-ct33,0,0,3
-ct34,4,4,13
1011001-ct1,1,9,21
1011003-ct3,0,0,0
1011004-ct4,17,0,2
1011005-ct5,8,0,2
1011006-ct6,2,1,14
1011007-ct7,1,0,7
1011008-ct8,0,0,2
1011009-ct9,0,3,11
1011010-ct10,0,0,5
1011011-ct11,20,0,2
1011013-ct13,0,1,2
1011014-ct14,3,16,17
1011016-ct16,3,5,2
1011017-ct17,0,0,11
1011018-ct18,3,16,36
1011019-ct19,0,1,18
1011020-ct20,4,4,0
1011022-ct22,0,2,5
1011024-ct24,0,0,2
1011026-ct26,0,0,7
1011028-ct28,0,0,2
