server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on
ct24,Govt.High School Rampur,1011024.0,[u'Atomic Structure'],atom-in-chemistry,blue-bat-sp100,1260076,,Yes,[],9,1,11.111111111111109,49,2,4.081632653061225,2018-07-11 18:35:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-butterfly-ct24,550353,,Yes,[],3,0,0.0,8,1,12.5,2018-08-21 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-cat-ct24,550355,,Yes,[],3,0,0.0,8,1,12.5,2018-09-28 17:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-python-ct24,550396,,Yes,"[550405, 550411]",3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-python-ct24,550396,,Yes,[],3,0,0.0,8,3,37.5,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-rabbit-ct24,550397,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-rhino-ct24,550398,,Yes,[],3,0,0.0,8,1,12.5,2018-08-21 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-rose-ct24,550399,,Yes,[],3,0,0.0,8,1,12.5,2018-08-06 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-scorpion-ct24,550400,,Yes,"[550397, 550412, 550419]",3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-seahorse-ct24,550401,,Yes,"[550408, 550413, 550415]",3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
