server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,brown-ant-mz17,17995,,Yes,[],8,2,25.0,43,5,11.627906976744184,2018-08-16 19:08:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-copper-sp100,1259953,Grade 8,No,[],8,0,0.0,43,1,2.3255813953488373,2018-08-14 17:33:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,black-apple-sp100,1260002,Grade 9,No,[],8,0,0.0,43,1,2.3255813953488373,2018-08-14 17:33:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-apple-mz17,17996,,Yes,[18008],12,1,8.333333333333332,84,21,25.0,2018-10-08 17:05:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-apple-mz17,17996,,Yes,[],12,2,16.666666666666664,84,22,26.190476190476193,2018-10-11 20:05:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-bat-mz17,17998,,Yes,[18017],12,1,8.333333333333332,84,19,22.619047619047624,2018-10-08 17:05:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-bat-mz17,17998,,Yes,[],12,1,8.333333333333332,84,21,25.0,2018-10-11 20:05:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-bear-mz17,17999,,Yes,[],12,3,25.0,84,33,39.285714285714285,2018-10-08 17:05:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-bear-mz17,17999,,Yes,[],12,4,33.33333333333333,84,36,42.857142857142854,2018-10-11 20:05:00,mz,2031017-mz17,2,0,12,1,15
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'English Elementary'],ee-unit1-english-elementary,brown-beatle-mz17,18000,,Yes,[18053],12,1,8.333333333333332,84,20,23.809523809523807,2018-10-08 17:05:00,mz,2031017-mz17,2,0,12,1,15
