school_server_code,stud_vist_activit_year_e,stud_vist_activit_year_m,stud_vist_activit_year_s
3051001-rj1,0,6,21
3051002-rj2,0,2,0
3051004-rj4,0,0,2
3051005-rj5,0,0,2
3051006-rj6,0,3,29
3051010-rj10,0,4,3
3051011-rj11,0,0,4
3051013-rj13,0,21,2
3051014-rj14,0,5,4
3051015-rj15,0,0,4
3051018-rj18,11,11,14
3051019-rj19,0,0,2
3051022-rj22,0,23,21
3051023-rj23,0,0,8
3051024-rj24,6,18,0
3051025-rj25,2,19,4
3051026-rj26,2,2,4
3051027-rj27,0,0,2
3051028-rj28,0,0,2
3051030-rj30,0,0,4
3051031-rj31,0,3,3
3051032-rj32,0,20,22
3051033-rj33,0,0,9
3051036-rj36,0,3,4
3051040-rj40,0,0,2
3051041-rj41,0,0,2
3051044-rj44,0,0,0
3051045-rj45,0,0,2
3051047-rj47,2,3,2
3051049-rj49,0,10,7
3072002-rj52,0,20,27
3072003-rj53,0,0,2
3072006-rj56,0,0,9
3072008-rj58,0,0,14
3072012-rj62,0,0,4
3072013-rj63,1,0,26
3072014-rj64,0,8,23
3072015-rj65,0,1,25
3072016-rj66,0,0,30
3072018-rj68,0,0,2
3072019-rj69,0,0,3
3072022-rj72,0,0,4
3072023-rj73,0,25,36
3072024-rj74,0,4,19
3072025-rj75,0,14,16
3072026-rj76,0,17,22
3072027-rj77,0,8,5
3072028-rj78,0,6,16
3072029-rj79,1,0,2
3072030-rj80,0,2,3
3072031-rj81,0,14,4
3072032-rj82,0,17,31
3072033-rj83,2,0,2
3072034-rj84,0,0,2
3072035-rj85,0,0,2
3072036-rj86,0,4,49
3072040-rj90,0,13,13
3072041-rj91,0,0,2
3072042-rj92,0,4,2
3072043-rj93,0,13,4
3072044-rj94,0,10,35
3072046-rj96,0,16,16
3072047-rj97,0,0,2
3072048-rj98,0,5,2
3072049-rj99,0,0,5
3072050-rj100,0,24,23
