school_server_code,total_days_e,total_days_m,total_days_s
3051001-rj1,0,5,4
3051002-rj2,0,1,4
3051004-rj4,0,1,3
3051006-rj6,0,3,5
3051010-rj10,0,1,3
3051011-rj11,0,0,2
3051013-rj13,0,3,0
3051014-rj14,0,2,1
3051015-rj15,0,0,1
3051018-rj18,0,2,0
3051022-rj22,0,4,4
3051024-rj24,0,2,0
3051025-rj25,0,4,0
3051026-rj26,0,6,2
3051027-rj27,0,2,3
3051028-rj28,0,0,1
3051030-rj30,0,3,0
3051031-rj31,0,8,3
3051032-rj32,0,13,2
3051033-rj33,0,1,0
3051036-rj36,0,2,4
3051041-rj41,0,1,0
3051044-rj44,0,1,3
3051047-rj47,0,2,0
3051049-rj49,0,3,6
3072002-rj52,0,3,4
3072006-rj56,0,2,1
3072008-rj58,0,1,0
3072009-rj59,0,1,1
3072012-rj62,0,3,0
3072013-rj63,0,1,0
3072014-rj64,0,1,0
3072018-rj68,0,3,0
3072019-rj69,0,0,1
3072022-rj72,0,2,0
3072023-rj73,0,7,5
3072024-rj74,0,6,3
3072025-rj75,0,1,1
3072026-rj76,0,4,1
3072027-rj77,0,5,1
3072028-rj78,0,3,1
3072029-rj79,0,2,0
3072030-rj80,0,4,2
3072031-rj81,0,1,2
3072032-rj82,0,3,2
3072033-rj83,0,1,1
3072034-rj84,0,1,0
3072035-rj85,0,1,0
3072036-rj86,0,1,1
3072040-rj90,0,6,0
3072041-rj91,0,3,0
3072043-rj93,0,2,1
3072044-rj94,0,3,0
3072046-rj96,0,4,0
3072047-rj97,0,1,1
3072048-rj98,0,2,0
3072049-rj99,0,1,2
3072050-rj100,0,3,1
