school_server_code,stud_vist_activit_year_e,stud_vist_activit_year_m,stud_vist_activit_year_s
-tg100,0,0,0
4112043-tg243,0,0,2
4122100-tg300,14,42,34
4141008-tg108,0,3,2
4141009-tg109,0,4,2
4141012-tg112,0,0,2
4141035-tg135,0,0,2
4141090-tg190,0,0,2
4141092-tg192,0,0,2
4152013-tg213,0,0,2
4152015-tg215,11,0,34
4152030-tg230,0,0,2
4152031-tg231,17,25,28
4152035-tg235,0,2,2
4152038-tg238,1,0,0
4152041-tg241,0,0,2
4152092-tg292,0,0,2
4173075-tg75,0,0,1
4183032-tg32,0,0,2
4183052-tg52,0,0,2
4192099-tg299,0,0,2
4202003-tg203,0,0,2
4202004-tg204,0,3,7
4202032-tg232,0,0,2
4202034-tg234,1,16,15
4213025-tg25,0,0,2
4221040-tg140,0,2,2
4221074-tg174,2,1,10
4221095-tg195,0,0,2
4231029-tg129,0,4,3
4231050-tg150,0,0,2
4231058-tg158,0,0,2
4231084-tg184,0,8,13
