school_server_code,total_stud_e,total_stud_m,total_stud_s
-tg100,0,0,0
4112043-tg243,0,0,0
4122100-tg300,0,0,0
4141008-tg108,0,0,0
4141009-tg109,0,0,0
4141012-tg112,0,0,0
4141035-tg135,0,0,0
4141090-tg190,0,0,0
4141092-tg192,0,0,0
4152013-tg213,0,0,0
4152015-tg215,0,0,0
4152030-tg230,0,0,0
4152031-tg231,0,0,0
4152035-tg235,0,0,0
4152038-tg238,0,0,0
4152041-tg241,0,0,0
4152092-tg292,0,0,0
4173075-tg75,0,0,0
4183032-tg32,0,0,0
4183052-tg52,0,0,0
4192099-tg299,0,0,0
4202003-tg203,0,0,0
4202004-tg204,0,0,0
4202032-tg232,0,0,0
4202034-tg234,0,0,0
4213025-tg25,0,0,0
4221040-tg140,0,0,0
4221074-tg174,0,0,0
4221095-tg195,0,0,0
4231029-tg129,0,0,0
4231050-tg150,0,0,0
4231058-tg158,0,0,0
4231084-tg184,0,0,0
