,activities_visited,buddy_userids,enrollment_status,grade,lessons_visited,module_name,percentage_activities_visited,percentage_lessons_visited,school_code,school_name,server_id,state_code,timestamp,total_activities,total_lessons,unit_name,user_id,username
2,1.0,[],No,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,17.0,5.0,gr2-unit1-property-based-reasoning,1260189.0,brown-ostrich-sp100
3,1.0,[],No,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,17.0,5.0,gr2-unit1-property-based-reasoning,1260189.0,brown-ostrich-sp100
4,1.0,[],No,Grade 8,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,17.0,5.0,gr2-unit1-property-based-reasoning,1260193.0,brown-peacock-sp100
5,1.0,[],No,Grade 8,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,17.0,5.0,gr2-unit1-property-based-reasoning,1260193.0,brown-peacock-sp100
8,1.0,[],No,Grade 8,0.0,[u'English Beginner'],0.78125,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1259953.0,blue-copper-sp100
9,1.0,[],No,Grade 8,0.0,[u'English Beginner'],0.78125,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1259953.0,blue-copper-sp100
10,0.0,[],No,Grade 9,0.0,[u'English Beginner'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1260002.0,black-apple-sp100
11,0.0,[],No,Grade 9,0.0,[u'English Beginner'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1260002.0,black-apple-sp100
12,2.0,[],No,,0.0,[u'English Beginner'],1.5625,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1260189.0,brown-ostrich-sp100
13,2.0,[],No,,0.0,[u'English Beginner'],1.5625,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1260189.0,brown-ostrich-sp100
14,2.0,[],No,Grade 8,0.0,[u'English Beginner'],1.5625,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1260193.0,brown-peacock-sp100
