school_server_code,total_days_e,total_days_m,total_days_s
4122100-tg300,0,52,9
4141008-tg108,0,8,0
4141009-tg109,0,11,0
4141012-tg112,0,1,1
4141045-tg145,0,18,18
4152001-tg201,0,5,2
4152002-tg202,0,2,0
4152012-tg212,0,3,2
4152015-tg215,0,4,4
4152017-tg217,0,2,1
4152023-tg223,0,1,1
4152030-tg230,0,1,0
4152031-tg231,0,21,13
4152035-tg235,0,1,1
4152038-tg238,0,0,1
4152041-tg241,0,1,0
4152072-tg272,0,2,0
4152092-tg292,0,1,0
4173074-tg74,0,9,4
4173075-tg75,0,7,3
4183023-tg23,0,10,6
4192081-tg281,0,6,1
4202003-tg203,0,2,0
4202004-tg204,0,5,2
4202010-tg210,0,3,0
4202034-tg234,0,32,4
4202059-tg259,0,2,4
4202074-tg274,0,1,0
4202083-tg283,0,5,2
4213025-tg25,0,4,1
4221018-tg118,0,2,0
4221026-tg126,0,1,1
4221040-tg140,0,21,6
4221067-tg167,0,7,3
4221068-tg168,0,1,1
4221074-tg174,0,3,2
4231023-tg123,0,1,1
4231029-tg129,0,17,10
4231036-tg136,0,56,7
4231043-tg143,0,1,0
4231046-tg146,0,4,0
4231050-tg150,0,2,0
4231051-tg151,0,1,0
4231058-tg158,0,3,1
4231078-tg178,0,2,0
4231084-tg184,0,4,0
