school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
3051010-rj10,31,1,12,1
3051001-rj1,12,0,18,5
3051032-rj32,0,6,9,11
3051025-rj25,13,0,4,5
3051031-rj31,2,4,9,5
3051036-rj36,8,0,8,4
3051041-rj41,10,1,5,0
3051006-rj6,2,0,7,5
3051049-rj49,3,2,2,6
3051026-rj26,1,0,6,6
3051013-rj13,6,0,3,3
3051022-rj22,1,1,5,5
3051044-rj44,8,0,1,2
3051047-rj47,3,1,6,1
3051033-rj33,0,0,10,1
3051004-rj4,2,0,5,3
3051002-rj2,2,0,4,3
3051018-rj18,2,0,6,1
3051023-rj23,6,0,3,0
3051028-rj28,5,0,2,1
3051015-rj15,4,0,2,2
3051005-rj5,6,0,1,0
3051030-rj30,1,0,4,2
3051045-rj45,3,0,3,0
3051027-rj27,1,0,1,4
3051014-rj14,2,0,2,1
3051011-rj11,1,0,1,2
3051019-rj19,2,0,1,0
3051024-rj24,0,0,2,1
3051040-rj40,2,0,1,0
