server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,black-ant-rj36,247801,,Yes,[],12,1,8.333333333333332,69,10,14.492753623188404,2018-08-24 13:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,black-octopus-rj36,247844,,Yes,[],12,0,0.0,69,3,4.3478260869565215,2018-08-25 10:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,blue-ant-rj36,247873,Choose Class / Grade,Yes,[],12,0,0.0,69,1,1.4492753623188406,2018-08-25 10:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,blue-copper-sp100,1259953,Grade 8,No,[],12,0,0.0,69,0,0.0,2018-06-29 13:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,black-apple-sp100,1260002,Grade 9,No,[],12,0,0.0,69,0,0.0,2018-06-29 13:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,brown-ostrich-sp100,1260189,,No,[],12,0,0.0,69,2,2.898550724637681,2018-06-29 13:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Understanding Motion'],um-physics-motion,brown-peacock-sp100,1260193,Grade 8,No,[1260189],12,0,0.0,69,2,2.898550724637681,2018-06-29 13:05:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Linear Equations'],le-unit2-exploring-telephone-tariffs,black-ant-rj36,247801,,Yes,[],1,0,0.0,7,4,57.14285714285714,2018-08-24 13:09:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Linear Equations'],le-unit2-exploring-telephone-tariffs,black-butterfly-rj36,247809,,No,[],1,0,0.0,7,0,0.0,2018-09-24 10:10:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Linear Equations'],le-unit2-exploring-telephone-tariffs,black-octopus-rj36,247844,,No,[],1,0,0.0,7,0,0.0,2018-09-24 10:10:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-ant-rj36,247801,Choose Class / Grade,Yes,[],11,1,9.090909090909092,52,4,7.6923076923076925,2018-10-22 14:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-bulbul-rj36,247807,,Yes,[],11,1,9.090909090909092,52,4,7.6923076923076925,2018-10-22 14:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-camel-rj36,247810,,Yes,[247817],11,0,0.0,52,1,1.9230769230769231,2018-10-22 14:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-cobra-rj36,247813,,Yes,[247824],11,0,0.0,52,1,1.9230769230769231,2018-10-22 15:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-fox-rj36,247824,,Yes,[],11,0,0.0,52,1,1.9230769230769231,2018-10-22 15:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-hippo-rj36,247833,,Yes,[],11,0,0.0,52,1,1.9230769230769231,2018-10-22 14:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Ecosystem'],ecosystem,black-octopus-rj36,247844,,Yes,[],11,0,0.0,52,1,1.9230769230769231,2018-10-22 14:12:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Pre-CLIx Survey'],pre-clix-survey,black-dog-rj36,247816,,Yes,[],1,0,0.0,20,2,10.0,2018-08-14 13:07:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Pre-CLIx Survey'],pre-clix-survey,black-octopus-rj36,247844,,No,[],1,0,0.0,20,0,0.0,2018-08-23 13:07:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Pre-CLIx Survey'],pre-clix-survey,black-seal-rj36,247858,,Yes,[],1,0,0.0,20,1,5.0,2018-08-24 13:08:00,rj,3051036-rj36
rj36,Govt. Girl sec. school sheetala dungri,3051036,[u'Pre-CLIx Survey'],pre-clix-survey,black-sheep-rj36,247860,,Yes,[],1,0,0.0,20,1,5.0,2018-08-14 13:07:00,rj,3051036-rj36
