school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
3072043-rj93,0.0,0.0,0.0,1.0
3072042-rj92,0.0,0.0,2.0,0.0
3072029-rj79,0.0,0.0,1.0,0.0
3072012-rj62,0.0,0.0,1.0,0.0
3072006-rj56,0.0,0.0,0.0,0.0
3072031-rj81,0.0,0.0,4.0,0.0
3072002-rj52,0.0,0.0,2.0,0.0
3072024-rj74,0.0,0.0,0.0,1.0
3072032-rj82,0.0,0.0,0.0,3.0
3072023-rj73,0.0,0.0,2.0,0.0
3072026-rj76,0.0,0.0,1.0,3.0
3072014-rj64,0.0,0.0,1.0,0.0
3072003-rj53,0.0,0.0,0.0,0.0
3072050-rj100,0.0,1.0,0.0,1.0
3072049-rj99,0.0,0.0,0.0,0.0
3072028-rj78,0.0,0.0,1.0,0.0
3072033-rj83,0.0,0.0,0.0,0.0
3072041-rj91,0.0,0.0,1.0,2.0
3072036-rj86,0.0,0.0,1.0,1.0
3072015-rj65,0.0,0.0,1.0,0.0
3072019-rj69,0.0,0.0,0.0,0.0
3072048-rj98,0.0,0.0,0.0,0.0
3072030-rj80,0.0,0.0,1.0,3.0
3072034-rj84,0.0,0.0,1.0,0.0
3072046-rj96,0.0,0.0,0.0,0.0
3072025-rj75,0.0,0.0,1.0,0.0
3072047-rj97,0.0,0.0,0.0,0.0
3072044-rj94,0.0,0.0,1.0,1.0
3072008-rj58,0.0,0.0,2.0,0.0
3072027-rj77,0.0,0.0,0.0,0.0
3072018-rj68,0.0,0.0,0.0,0.0
3072013-rj63,0.0,0.0,4.0,0.0
3072016-rj66,0.0,0.0,1.0,0.0
3072022-rj72,0.0,0.0,0.0,1.0
