school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
4141008-tg108,49,3,16,3
4231051-tg151,60,0,3,0
4231057-tg157,53,0,1,0
4221074-tg174,47,0,1,1
4221040-tg140,24,2,10,8
4231084-tg184,20,1,19,3
4231036-tg136,0,7,18,21
4231078-tg178,31,0,1,0
4231046-tg146,18,1,13,0
4231023-tg123,21,1,9,0
4141045-tg145,15,0,10,0
4231050-tg150,23,0,1,0
4231043-tg143,17,0,3,0
4231029-tg129,3,2,10,2
4221095-tg195,15,0,1,0
4231058-tg158,13,0,1,0
4221026-tg126,8,0,5,0
4221034-tg134,10,0,1,0
4141090-tg190,10,0,1,0
4221018-tg118,2,1,4,0
4141009-tg109,1,0,3,3
4221067-tg167,1,1,1,3
4231047-tg147,5,0,1,0
4141012-tg112,4,0,1,0
4221068-tg168,4,0,1,0
4141035-tg135,3,0,1,0
4231027-tg127,1,0,1,0
4221094-tg194,1,0,1,0
4141038-tg138,0,0,2,0
