school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
4231078-tg178,0.0,0.0,0.0,0.0
4141008-tg108,0.0,2.0,12.0,2.0
4231023-tg123,0.0,0.0,0.0,0.0
4231036-tg136,0.0,4.0,7.0,10.0
4231057-tg157,0.0,0.0,0.0,0.0
4221074-tg174,0.0,0.0,0.0,1.0
4231084-tg184,0.0,1.0,5.0,3.0
4141045-tg145,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,2.0,0.0
4221040-tg140,0.0,1.0,2.0,8.0
4141090-tg190,0.0,0.0,0.0,0.0
4221095-tg195,0.0,0.0,0.0,0.0
4221026-tg126,0.0,0.0,0.0,0.0
4231050-tg150,0.0,0.0,0.0,0.0
4221067-tg167,0.0,0.0,0.0,1.0
4231058-tg158,0.0,0.0,0.0,0.0
4231047-tg147,0.0,0.0,0.0,0.0
4231029-tg129,0.0,2.0,8.0,1.0
4141012-tg112,0.0,0.0,0.0,0.0
4221018-tg118,0.0,0.0,0.0,0.0
4231043-tg143,0.0,0.0,0.0,0.0
4141035-tg135,0.0,0.0,0.0,0.0
4221034-tg134,0.0,0.0,0.0,0.0
4221068-tg168,0.0,0.0,0.0,0.0
4141009-tg109,0.0,0.0,1.0,3.0
4231027-tg127,0.0,0.0,0.0,0.0
4231051-tg151,0.0,0.0,0.0,0.0
