school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
1011001-ct1,9,0,15,3
1011020-ct20,5,5,5,11
1011019-ct19,1,3,7,9
1011018-ct18,6,1,8,3
1011024-ct24,1,1,7,8
1011004-ct4,7,0,8,0
-ct32,4,1,7,2
1011011-ct11,2,0,5,6
1011022-ct22,0,1,6,5
1011026-ct26,7,0,4,0
-ct31,8,0,1,0
1011010-ct10,3,0,4,0
1011003-ct3,2,1,3,1
1011028-ct28,3,0,4,0
1011014-ct14,2,0,4,0
1011005-ct5,0,1,5,0
-ct33,5,0,1,0
1011006-ct6,2,0,2,1
1011007-ct7,3,0,1,0
1011013-ct13,2,0,1,0
1011009-ct9,1,0,1,0
1011008-ct8,1,0,1,0
1011017-ct17,0,0,1,0
-ct34,0,0,1,0
