school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
1011001-ct1,8.0,1.0,8.0,2.0
1011020-ct20,3.0,0.0,2.0,0.0
1011019-ct19,0.0,0.0,2.0,0.0
1011018-ct18,0.0,3.0,4.0,9.0
1011024-ct24,2.0,0.0,1.0,0.0
1011004-ct4,0.0,0.0,8.0,0.0
-ct32,2.0,2.0,3.0,2.0
1011011-ct11,2.0,0.0,15.0,1.0
1011022-ct22,0.0,0.0,6.0,2.0
1011026-ct26,0.0,0.0,0.0,0.0
-ct31,9.0,0.0,5.0,3.0
1011010-ct10,0.0,0.0,4.0,2.0
1011003-ct3,0.0,1.0,1.0,0.0
1011028-ct28,1.0,0.0,4.0,0.0
1011014-ct14,0.0,0.0,14.0,1.0
1011005-ct5,0.0,0.0,1.0,0.0
-ct33,0.0,1.0,2.0,11.0
1011006-ct6,0.0,0.0,4.0,0.0
1011007-ct7,4.0,0.0,3.0,0.0
1011013-ct13,2.0,0.0,4.0,0.0
1011009-ct9,0.0,5.0,5.0,17.0
1011008-ct8,0.0,0.0,1.0,0.0
1011017-ct17,1.0,1.0,1.0,0.0
-ct34,1.0,0.0,12.0,2.0
