district_code,school_server_code,stud_used_tools_anon_m,stud_used_tools_anon_s,stud_used_tools_reg_m,stud_used_tools_reg_s,time_spent_tools_m,time_spent_tools_s,total_stud_unique_tools_anon,total_stud_unique_tools_reg
1001,1011001-ct1,5,4,11,12,17.1494444444444,8.96666666666667,5,21
1002,,,,,,,,,
1003,1011003-ct3,4,0,16,0,15.9816666666667,,4,16
1004,1011004-ct4,0,0,2,0,0.133333333333333,,0,2
1005,1011005-ct5,0,0,2,0,0,,0,2
1006,1011006-ct6,0,0,4,6,0.1,2.03333333333333,0,6
1007,,,,,,,,,
1008,1011008-ct8,0,1,0,1,,0,1,1
1009,1011009-ct9,1,0,84,0,178.418333333333,,1,84
1010,1011010-ct10,3,0,2,2,0.083333333333333,0,3,4
1011,1011011-ct11,2,0,32,0,54.9466666666667,,2,32
1012,,,,,,,,,
1013,1011013-ct13,0,0,1,0,0.205555555555556,,0,1
1014,1011014-ct14,1,0,11,0,1.75361111111111,,1,11
1015,,,,,,,,,
1016,1011016-ct16,1,0,3,0,0.153055555555556,,1,3
1017,1011017-ct17,1,2,1,10,0.037777777777778,0.816666666666667,1,10
1018,1011018-ct18,1,1,50,5,15.9611111111111,0.4,1,51
1019,1011019-ct19,2,0,42,0,59.3577777777778,,2,42
1020,1011020-ct20,1,0,39,0,54.4891666666667,,1,39
1021,,,,,,,,,
1022,1011022-ct22,1,0,33,0,29.6747222222222,,1,33
1023,,,,,,,,,
1024,1011024-ct24,0,0,55,0,77.9216666666667,,0,55
1025,,,,,,,,,
1026,1011026-ct26,0,3,0,1,,0.85,3,1
9999,-ct31,3,1,11,2,29.1333333333333,0.516666666666667,3,11
