district_code,modules_activ_e,modules_activ_m,modules_activ_s,modules_lesson_e,modules_lesson_m,modules_lesson_s,school_name,school_server_code,stud_used_modules_e,stud_used_modules_m,stud_used_modules_s,total_stud_unique_modul,units_attempted_most_stud_e,units_attempted_most_stud_m,units_attempted_most_stud_s,units_attempted_stud_e,units_attempted_stud_m,units_attempted_stud_s
1002,0,13,2,0,14,2,GOVT. CHAWNPUI HIGH SCHOOL,2031002-mz2,28,28,21,31,3,3,2,75,72,47
1003,11,72,16,2,80,14,GOVT. K.M. HIGH SCHOOL,2031003-mz3,35,110,42,148,2,1,2.5,78,239,118
1004,0,0,0,0,0,0,GOVT. SAKAWRTUICHHUN HIGH SCHOOL,2031004-mz4,3,3,1,20,1,2,1,4,5,1
1005,0,0,0,0,11,0,GOVT. JL HIGH SCHOOL,2031005-mz5,0,37,1,44,,1,1,,38,1
1006,,,,,,,,,,,,,,,,,,
1007,1,1,2,1,1,2,TUIKUAL SOUTH HIGH SCHOOL(ADHOC),2031007-mz7,7,7,7,10,3,2,3,21,17,19
1008,2,2,0,0,0,0,GOVT. AIZAWL HIGH SCHOOL,2031008-mz8,24,15,0,26,1,1,,25,16,
1009,,,,,,,,,,,,,,,,,,
1010,0,0,2,0,0,2,GOVT. GORKHA HIGH SCHOOL,2031010-mz10,5,4,5,7,3,2,3,15,9,14
1011,,,,,,,,,,,,,,,,,,
1012,0,0,2,0,9,2,GOVT. BUNGKAWN HIGH SCHOOL,2031012-mz12,5,15,5,18,3,1,3,15,20,14
1013,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,
1015,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,
1017,20,3,2,8,3,2,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017-mz17,48,23,45,54,1,1,1,80,41,54
1018,,,,,,,,,,,,,,,,,,
1019,,,,,,,,,,,,,,,,,,
1020,8,6,0,0,0,0,GOVT. DINTHAR HIGH SCHOOL,2031020-mz20,25,27,25,28,1,2,2,31,48,47
1021,0,2,0,0,1,0,GOVT. HRANGCHHUNGA HIGH SCHOOL,2031021-mz21,28,2,11,30,1,3.5,1,33,7,13
1022,0,0,2,0,0,2,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022-mz22,5,40,23,43,3,1,1,15,45,32
1023,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,,,,,,,,,
1027,4,2,0,2,6,0,GOVT. SIHPHIR HIGH SCHOOL,2031027-mz27,14,9,13,16,1,1,1,15,9,15
1028,0,0,0,0,0,0,GOVT. CENTRAL HIGH SCHOOL,2031028-mz28,2,1,1,4,1,5,1,2,5,1
1029,11,4,10,10,12,14,GOVT. MAUBAWK HIGH SCHOOL,2031029-mz29,20,18,19,22,3,1,5,53,30,91
1030,0,0,1,0,9,1,GOVT. SAIRANG HIGH SCHOOL,2031030-mz30,71,33,32,102,1,1,1,72,55,40
