district_code,modules_activ_e,modules_activ_m,modules_activ_s,modules_lesson_e,modules_lesson_m,modules_lesson_s,school_name,school_server_code,stud_used_modules_e,stud_used_modules_m,stud_used_modules_s,total_stud_unique_modul,units_attempted_most_stud_e,units_attempted_most_stud_m,units_attempted_most_stud_s,units_attempted_stud_e,units_attempted_stud_m,units_attempted_stud_s
1001,0,11,38,0,19,37,"Govt. Sr. Sec. School near tample, padampura",3051001-rj1,18,38,58,72,1,1,2,26,51,148
1002,0,2,9,0,2,9,"Govt. Sr. Sec. School, chaapradi",3051002-rj2,18,9,40,41,1,1,2,34,13,107
1003,,,,,,,,,,,,,,,,,,
1004,0,1,4,0,1,7,"Govt. Sr. Sec. School, bhonawas",3051004-rj4,38,17,41,53,1,1,1,59,28,70
1005,0,0,2,0,0,2,"Govt. Adarsh Sr. Sec. School, taskola",3051005-rj5,5,4,5,7,3,2,3,15,9,14
1006,0,2,48,0,1,48,"Govt. Adarsh Sr. Sec. School, mohabbatpura",3051006-rj6,11,24,61,67,2,1,2,22,36,157
1007,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,
1009,,,,,,,,,,,,,,,,,,
1010,0,10,3,0,5,4,"Govt. Sec. School, Dhaupura",3051010-rj10,24,15,25,43,1,3,1,40,60,50
1011,0,0,7,0,0,3,"Govt. Sr. Sec. School, Tholai",3051011-rj11,10,10,39,41,2,2,2,21,18,78
1012,,,,,,,,,,,,,,,,,,
1013,0,22,2,0,36,5,"Govt. Sr. Sec. School, Jawahar nagar",3051013-rj13,20,38,28,54,1,3,1,26,110,48
1014,0,5,2,0,2,2,"Govt. Sec. School, Mandi khatikan",3051014-rj14,10,10,5,18,1.5,2.5,3,20,28,14
1015,0,0,8,0,2,7,"Govt. Sec. School, Rajpur vaas tala",3051015-rj15,20,9,41,43,1,1,1,32,14,69
1016,,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,
1018,11,13,18,10,11,18,"Govt. Sr. Sec. School, labor colony, bani park",3051018-rj18,22,16,15,37,1,2,2,25,37,31
1019,0,0,2,0,0,2,"Govt. Girls Sr. Sec. School, nari ka naka, sastrinagar",3051019-rj19,5,4,5,7,3,2,3,15,9,14
1020,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,
1022,0,33,29,0,31,30,"Govt. Adarsh Sr. Sec. School, Khorashymdas,Jalsu",3051022-rj22,32,37,45,63,1,1,1,51,84,88
1023,0,0,14,0,0,16,"Govt. Sr. Sec. School, Nivaru road jaipur",3051023-rj23,7,9,29,32,3,1,1,18,14,44
1024,6,18,0,3,8,0,"Govt. girls Sr. Sec. School, raval ji ka bag",3051024-rj24,16,21,0,28,1,1,,26,28,
1025,2,28,4,2,35,4,"Govt. Sr. Sec. School, chakbasdi, Jhotwada",3051025-rj25,26,36,22,58,1,2.5,1,29,100,25
1026,2,4,6,2,2,7,"Govt. Sr. Sec. School, goukulpura",3051026-rj26,34,33,30,48,1.5,1,3,56,52,81
1027,0,1,4,0,4,3,"Govt. Sr. Sec. School, goliyawas",3051027-rj27,10,18,24,29,1,1,3,11,32,61
1028,0,0,2,0,0,2,"Govt. Adarsh Sr. Sec. School, mansarovar",3051028-rj28,5,5,6,13,3,2,2.5,15,10,15
1029,,,,,,,,,,,,,,,,,,
1030,0,1,9,0,1,10,"Govt. Sr. Sec. School, Rojdi via phulera, Dudu",3051030-rj30,45,27,36,74,1,1,1,63,38,51
1031,0,6,3,0,5,2,"Govt. Sr. Sec. School, sakuhooa, Hatupura, Dudu",3051031-rj31,15,26,32,58,2,2,2,29,57,62
1032,0,34,36,0,31,34,"Govt. Sec. School, Sunadiya,chhaparwada, Dudu",3051032-rj32,22,38,36,45,2,3.5,6,39,148,184
1033,1,0,14,0,7,16,"Govt. Sr. Sec. School, Kachroda, Dudu",3051033-rj33,35,19,67,78,1,1,2,51,31,130
1034,,,,,,,,,,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,
1036,0,4,8,0,1,7,Govt. Girl sec. school sheetala dungri,3051036-rj36,2,4,27,28,1,3.5,2,2,14,65
1037,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,
1039,,,,,,,,,,,,,,,,,,
1040,0,0,2,0,0,2,"Govt. Sr. Sec. School, Agra Road Paldi Meena",3051040-rj40,5,4,5,7,3,2,3,15,9,14
1041,0,0,2,0,0,2,"Govt. Adarsh Sr. Sec. School, Agra road Jhar",3051041-rj41,16,4,14,20,1.5,2,1,29,9,24
1042,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,
1044,0,2,0,0,0,0,"Govt. Adarsh Sr. Sec. School, Vidhani",3051044-rj44,1,13,21,26,1,1,1,1,13,26
1045,0,1,2,0,8,2,"Govt. Girl Sr. Sec. School, Durgapura",3051045-rj45,6,14,6,24,3,2,2.5,16,31,15
1046,,,,,,,,,,,,,,,,,,
1047,2,4,2,1,5,2,"Govt. Adarsh Sr. Sec. School, Hadota",3051047-rj47,30,11,17,39,1,2,1,51,20,27
1048,,,,,,,,,,,,,,,,,,
1049,0,12,10,0,9,12,"Govt. Adarsh Sr. Sec. School, RadhaSwami ka Bag, Jayatpura",3051049-rj49,27,28,45,61,1,1,1,28,42,78
1050,,,,,,,,,,,,,,,,,,
1051,,,,,,,,,,,,,,,,,,
1052,,,,,,,,,,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2002,0,23,31,0,21,41,"Govt. Girls Sec. school, jawal",3072002-rj52,32,44,83,105,1,1,2,46,76,202
2003,0,0,4,0,0,7,"Govt. sec. Sr. school, bhootgaon",3072003-rj53,5,7,65,73,3,2,1,15,12,91
2004,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
2006,0,2,9,0,0,9,"Govt. Sr. Sec. school, mandwariya",3072006-rj56,5,21,37,40,3,1,1,15,32,48
2007,,,,,,,,,,,,,,,,,,
2008,0,0,25,0,0,17,"Govt. Adarsh sr. sec. School, madiya",3072008-rj58,7,31,80,82,3,1,1,17,36,101
2009,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2012,0,0,4,0,0,5,"Govt. Sec. School, deldar, mandh",3072012-rj62,23,5,32,47,1,2,1,33,10,48
2013,4,0,2,2,0,2,"Govt. Adarsh sr. Sec. School, Sorda",3072013-rj63,22,4,6,25,1,2,2.5,34,9,15
2014,0,0,38,0,0,33,"Govt. Adarsh Sr. Sec. School, magriawada",3072014-rj64,5,4,24,26,3,2,2,15,9,53
2015,1,2,58,0,5,67,"Govt. Sr. Sec. school, Jeerawal",3072015-rj65,29,20,39,43,2,2,3,52,34,117
2016,0,0,27,0,0,28,"Govt. Sr.Sec school, Datrai",3072016-rj66,5,5,31,33,3,2,2,15,11,65
2017,,,,,,,,,,,,,,,,,,
2018,0,0,2,0,0,2,"Govt. Sr. sec. school, Jogapura(Purana)",3072018-rj68,17,28,21,50,1,1,1,29,33,36
2019,0,0,4,0,0,4,"Govt. Sr.Sec school, Aalpa",3072019-rj69,5,5,11,13,3,2,2,15,10,26
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,0,0,8,0,0,7,"Govt. Sec. school, shivganj",3072022-rj72,6,20,25,28,3,1,1,16,25,43
2023,3,30,47,0,39,51,"Shri shantinath Adarsh Govt. Sr. Sec. School, uud, sirohi",3072023-rj73,46,73,80,111,1,2,2,74,158,197
2024,0,5,22,0,25,21,"Govt. Sr.Sec. School, undra",3072024-rj74,54,60,42,95,1,1,1,70,99,52
2025,0,16,20,0,17,22,"Govt. Sr. Sec. School, vatera",3072025-rj75,22,26,44,55,2,2,2.5,40,53,125
2026,0,27,26,0,50,29,"Govt. Sr. Sec. School, Sindrath",3072026-rj76,53,83,63,99,1,1,2,69,165,115
2027,2,12,6,2,12,6,"Govt. Sec. School,Sirohi",3072027-rj77,15,23,21,34,2,2,2,35,50,46
