district_code,school_server_code,stud_used_tools_anon_m,stud_used_tools_anon_s,stud_used_tools_reg_m,stud_used_tools_reg_s,time_spent_tools_m,time_spent_tools_s,total_stud_unique_tools_anon,total_stud_unique_tools_reg
1001,3051001-rj1,1,0,12,4,2.75,0.266666666666667,1,13
1002,3051002-rj2,1,2,3,15,0.933333333333333,3.75,2,15
1003,,,,,,,,,
1004,3051004-rj4,0,0,1,8,0.066666666666667,0.583333333333333,0,9
1005,,,,,,,,,
1006,3051006-rj6,1,2,20,40,7.40194444444444,19.9166666666667,1,52
1007,,,,,,,,,
1008,,,,,,,,,
1009,,,,,,,,,
1010,3051010-rj10,0,1,1,2,0.133333333333333,0.1,1,3
1011,3051011-rj11,0,0,0,18,,1.8,0,18
1012,,,,,,,,,
1013,3051013-rj13,1,0,22,0,3.59472222222222,,1,22
1014,3051014-rj14,3,0,4,0,3.31666666666667,,3,4
1015,3051015-rj15,0,0,0,15,,2.61666666666667,0,15
1016,,,,,,,,,
1017,,,,,,,,,
1018,3051018-rj18,3,0,4,0,2.3,,3,4
1019,,,,,,,,,
1020,,,,,,,,,
1021,,,,,,,,,
1022,3051022-rj22,1,2,15,16,9.04694444444444,0.516666666666667,1,29
1023,,,,,,,,,
1024,3051024-rj24,0,0,18,0,1.96666666666667,,0,18
1025,3051025-rj25,1,0,27,0,30.0266666666667,,1,27
1026,3051026-rj26,1,0,25,11,14.9013888888889,1.65,1,35
1027,3051027-rj27,0,0,6,6,0.6,0.8,0,11
1028,3051028-rj28,0,0,0,1,,0.016666666666667,0,1
1029,,,,,,,,,
1030,3051030-rj30,1,0,20,0,5.66666666666667,,1,20
1031,3051031-rj31,1,0,24,2,14.4122222222222,0.05,1,24
1032,3051032-rj32,1,0,31,2,15.6833333333333,0.566666666666667,1,31
1033,3051033-rj33,0,0,1,0,0.016666666666667,,0,1
1034,,,,,,,,,
1035,,,,,,,,,
1036,3051036-rj36,3,3,5,9,3.65,11.3166666666667,3,11
1037,,,,,,,,,
1038,,,,,,,,,
1039,,,,,,,,,
1040,,,,,,,,,
1041,3051041-rj41,0,0,1,0,0.033333333333333,,0,1
1042,,,,,,,,,
1043,,,,,,,,,
1044,3051044-rj44,6,5,12,3,1.08333333333333,6.93333333333333,5,14
1045,,,,,,,,,
1046,,,,,,,,,
1047,3051047-rj47,0,0,15,0,4.635,,0,15
1048,,,,,,,,,
1049,3051049-rj49,0,2,10,25,0.433888888888889,8.56666666666667,2,32
1050,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,3072002-rj52,0,1,9,17,2.4,7.73333333333333,1,21
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,3072006-rj56,1,0,18,2,12.8666666666667,0,1,20
2007,,,,,,,,,
2008,3072008-rj58,0,0,27,0,5.85,,0,27
2009,3072009-rj59,0,0,2,11,0,1.08333333333333,0,13
2010,,,,,,,,,
2011,,,,,,,,,
2012,3072012-rj62,1,0,2,0,0.033333333333333,,1,2
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,
2018,3072018-rj68,1,0,23,0,3.43333333333333,,1,23
2019,3072019-rj69,0,2,0,4,,3.3,2,4
2020,,,,,,,,,
2021,,,,,,,,,
2022,3072022-rj72,3,0,17,0,2.11666666666667,,3,17
2023,3072023-rj73,0,1,30,19,5.03138888888889,3.65,1,42
2024,3072024-rj74,1,1,22,7,7.78611111111111,0.2,1,26
2025,3072025-rj75,0,0,2,15,0.132777777777778,4.73333333333333,0,16
2026,3072026-rj76,1,0,41,10,12.3166666666667,1.6,1,46
2027,3072027-rj77,1,0,20,1,6.28361111111111,0,1,21
2028,3072028-rj78,1,0,48,2,14.4666666666667,0,1,48
2029,3072029-rj79,0,0,29,0,1.67222222222222,,0,29
2030,3072030-rj80,1,1,9,2,3.45444444444444,0.6,1,9
2031,3072031-rj81,0,0,14,2,2.5,0.1,0,14
2032,3072032-rj82,1,0,29,10,6.38527777777778,2.7,1,31
2033,3072033-rj83,0,0,6,3,0.616666666666667,0,0,9
2034,3072034-rj84,2,0,9,0,1.71666666666667,,2,9
2035,3072035-rj85,2,0,19,0,4.73333333333333,,2,19
2036,3072036-rj86,0,0,3,5,0,0,0,8
2037,,,,,,,,,
2038,,,,,,,,,
2039,,,,,,,,,
2040,3072040-rj90,2,0,18,0,5.33333333333333,,2,18
2041,3072041-rj91,1,0,11,0,6.96666666666667,,1,11
2042,,,,,,,,,
2043,3072043-rj93,0,0,16,2,1.84,0.1,0,17
2044,3072044-rj94,3,0,19,0,9.36666666666667,,3,19
2045,,,,,,,,,
2046,3072046-rj96,2,0,22,0,6.11666666666667,,2,22
2047,3072047-rj97,0,0,7,2,0.5,0,0,9
2048,3072048-rj98,0,0,5,0,0.116666666666667,,0,5
2049,3072049-rj99,1,0,1,2,0,0,1,3
2050,3072050-rj100,0,0,19,2,5.38972222222222,0.333333333333333,0,19
