district_code,modules_activ_e,modules_activ_m,modules_activ_s,modules_lesson_e,modules_lesson_m,modules_lesson_s,school_name,school_server_code,stud_used_modules_e,stud_used_modules_m,stud_used_modules_s,total_stud_unique_modul,units_attempted_most_stud_e,units_attempted_most_stud_m,units_attempted_most_stud_s,units_attempted_stud_e,units_attempted_stud_m,units_attempted_stud_s
1008,1,3,2,0,2,2,ZPHS Pidisilla,4141008-tg108,40,24,27,55,1,1,1,62,33,49
1009,0,4,2,0,7,4,ZPHS Motlapally,4141009-tg109,12,23,30,34,2,3,2,24,68,79
1010,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,
1012,0,0,2,0,0,2,ZPHS Mogullapally,4141012-tg112,5,4,5,7,3,2,3,15,9,14
1013,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,
1015,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,
1018,0,0,2,0,0,2,ZPHS ELUKURTHY,4221018-tg118,10,4,8,12,2,2,3,23,9,23
1019,,,,,,,,,,,,,,,,,,
1020,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,
1022,,,,,,,,,,,,,,,,,,
1023,8,1,1,5,2,1,GHS krishnacolony,4231023-tg123,16,4,9,17,2.5,1,2,36,7,17
1024,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,
1026,0,0,2,0,0,2,ZPHS Pulukurthy,4221026-tg126,18,10,19,24,2,1.5,1,36,16,32
1027,0,0,2,0,0,2,GHS orus,4231027-tg127,5,4,5,7,3,2,3,15,9,14
1028,,,,,,,,,,,,,,,,,,
1029,0,1,3,0,3,2,GHS Karimabad,4231029-tg129,25,16,29,84,2,2,2,47,28,58
1030,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,
1032,,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,
1034,0,0,2,0,0,2,ZPHS Akkampet,4221034-tg134,5,4,5,7,3,2,3,15,9,14
1035,0,0,2,0,0,2,ZPHS GIRLS MULUG,4141035-tg135,5,4,5,7,3,2,3,15,9,14
1036,0,16,0,0,16,0,Zppss Paidipally,4231036-tg136,49,52,36,58,2,3,2,114,156,85
1037,,,,,,,,,,,,,,,,,,
1038,0,0,2,0,0,2,ZPHS ABBAPOOR,4141038-tg138,6,4,5,8,3,2,3,16,9,14
1039,,,,,,,,,,,,,,,,,,
1040,0,3,2,0,6,2,ZPSS Neerukulla,4221040-tg140,24,22,43,51,2,2,2,45,47,84
1041,,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,
1043,0,1,0,0,0,0,GHS railwaygate,4231043-tg143,25,22,15,30,1,1,2,31,29,41
1044,,,,,,,,,,,,,,,,,,
1045,0,0,2,0,0,2,ZPHS CHALVAI,4141045-tg145,5,6,7,9,3,2,3,15,12,20
1046,0,0,2,0,0,2,Zphs siddapur,4231046-tg146,43,9,15,51,1,1,2,66,14,30
1047,0,0,2,0,0,2,Zphs mucharla,4231047-tg147,5,4,5,7,3,2,3,15,9,14
1048,,,,,,,,,,,,,,,,,,
1049,,,,,,,,,,,,,,,,,,
1050,0,0,2,0,0,2,GGHS lashkarbazar,4231050-tg150,5,4,5,7,3,2,3,15,9,14
1051,0,0,2,0,0,2,zppss sundaraiah nagar,4231051-tg151,24,6,19,29,1,2,1,37,11,28
1052,,,,,,,,,,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,
1055,,,,,,,,,,,,,,,,,,
1056,,,,,,,,,,,,,,,,,,
1057,0,0,2,0,0,2,ZPHS(Girls)Dharmasagar,4231057-tg157,5,4,5,7,3,2,3,15,9,14
1058,0,0,2,0,0,2,ZPHS Saipet,4231058-tg158,5,4,5,7,3,2,3,15,9,14
1059,,,,,,,,,,,,,,,,,,
