district_code,school_server_code,stud_used_tools_anon_m,stud_used_tools_anon_s,stud_used_tools_reg_m,stud_used_tools_reg_s,time_spent_tools_m,time_spent_tools_s,total_stud_unique_tools_anon,total_stud_unique_tools_reg
1008,4141008-tg108,2,0,7,0,0.816666666666667,,2,7
1009,4141009-tg109,1,0,11,0,5.98972222222222,,1,11
1010,,,,,,,,,
1011,,,,,,,,,
1012,4141012-tg112,3,1,1,1,0.183333333333333,0.016666666666667,3,1
1013,,,,,,,,,
1014,,,,,,,,,
1015,,,,,,,,,
1016,,,,,,,,,
1017,,,,,,,,,
1018,4221018-tg118,2,0,4,0,0.2,,2,4
1019,,,,,,,,,
1020,,,,,,,,,
1021,,,,,,,,,
1022,,,,,,,,,
1023,4231023-tg123,1,0,2,1,0.016666666666667,0.016666666666667,1,2
1024,,,,,,,,,
1025,,,,,,,,,
1026,,,,,,,,,
1027,,,,,,,,,
1028,,,,,,,,,
1029,4231029-tg129,1,0,5,1,0.221388888888889,0,1,6
1030,,,,,,,,,
1031,,,,,,,,,
1032,,,,,,,,,
1033,,,,,,,,,
1034,,,,,,,,,
1035,,,,,,,,,
1036,4231036-tg136,1,1,34,5,34.2469444444445,0.983333333333333,1,34
1037,,,,,,,,,
1038,,,,,,,,,
1039,,,,,,,,,
1040,4221040-tg140,1,1,18,2,9.88333333333333,0.316666666666667,1,18
1041,,,,,,,,,
1042,,,,,,,,,
1043,4231043-tg143,1,0,1,0,0,,1,1
1044,,,,,,,,,
1045,4141045-tg145,1,1,1,1,3.5925,6.63333333333333,2,1
1046,4231046-tg146,1,0,2,0,0.483333333333333,,1,2
1047,,,,,,,,,
1048,,,,,,,,,
1049,,,,,,,,,
1050,4231050-tg150,1,0,1,0,0.183333333333333,,1,1
1051,4231051-tg151,1,0,2,0,0.066666666666667,,1,2
1052,,,,,,,,,
1053,,,,,,,,,
1054,,,,,,,,,
1055,,,,,,,,,
1056,,,,,,,,,
1057,,,,,,,,,
1058,4231058-tg158,2,1,1,1,0.066666666666667,0,2,1
1059,,,,,,,,,
1060,,,,,,,,,
1061,,,,,,,,,
1062,,,,,,,,,
1063,,,,,,,,,
1064,,,,,,,,,
1065,,,,,,,,,
1066,,,,,,,,,
1067,4221067-tg167,4,1,13,2,8.7,0,4,13
