,module_name,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,Atomic Structure,0,1500,8.912,9.794158447417969,6.0,1,161
1,Basic Astronomy,0,1115,8.469955156950673,9.636655012835492,5.0,1,158
2,Ecosystem,0,598,7.740802675585284,9.57303097078966,4.0,1,86
3,English Beginner,0,2064,11.984980620155039,16.298960091002655,6.0,1,164
4,English Elementary,0,884,8.830316742081449,10.677001220026563,4.0,1,161
5,Geometric Reasoning Part I,0,1938,4.970072239422085,6.193334310049672,3.0,1,168
6,Geometric Reasoning Part II,0,452,5.548672566371682,9.040427702578173,2.0,1,160
7,Health and Disease,0,868,13.588709677419354,16.601307926226948,5.0,1,92
8,Linear Equations,0,326,5.058282208588957,5.076610813111989,3.0,1,155
9,Proportional Reasoning,0,950,4.786315789473684,5.201282781840794,3.0,1,101
10,Reflecting on Values,0,229,4.882096069868996,5.5983301841155475,3.0,1,70
11,Sound,0,845,14.237869822485207,15.588274400154203,7.0,1,158
12,Understanding Motion,0,942,12.156050955414013,14.936424268738627,7.0,1,155
