,module_name,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,Atomic Structure,0,273,8.7985347985348,10.283467495336623,5.0,1,21
1,Basic Astronomy,0,145,10.03448275862069,9.245429646515028,9.0,1,21
2,Ecosystem,0,57,15.263157894736842,13.207852528744128,15.0,1,12
3,English Beginner,0,483,19.200828157349896,24.12181738595849,8.0,2,21
4,English Elementary,0,141,10.21985815602837,11.631909435797448,5.0,1,21
5,Geometric Reasoning Part I,0,627,3.425837320574163,2.9395674181894496,3.0,1,22
6,Geometric Reasoning Part II,0,60,1.6666666666666667,0.8570083295022038,1.0,1,22
7,Health and Disease,0,108,15.351851851851851,15.945769552832898,5.5,2,14
8,Linear Equations,0,28,6.678571428571429,5.450474470876086,5.5,1,19
9,Proportional Reasoning,0,100,4.44,4.1103957881636575,3.0,1,13
10,Reflecting on Values,0,15,3.2666666666666666,3.0581662728473336,2.0,1,11
11,Sound,0,136,12.610294117647058,14.26634101088222,7.0,1,21
12,Understanding Motion,0,140,11.685714285714285,11.421981656164192,8.0,1,21
