,module_name,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,Atomic Structure,0,912,10.198464912280702,10.084880046104756,8.0,1,63
1,Basic Astronomy,0,755,9.492715231788079,10.468768122991547,6.0,1,64
2,Ecosystem,0,262,8.877862595419847,11.520112614367722,4.0,1,33
3,English Beginner,0,781,9.257362355953905,10.498062713006725,5.0,3,64
4,English Elementary,0,275,7.363636363636363,9.26803555663037,3.0,1,65
5,Geometric Reasoning Part I,0,728,6.652472527472527,7.202807372355638,4.0,1,65
6,Geometric Reasoning Part II,0,284,6.820422535211268,10.233983703117477,2.0,1,63
7,Health and Disease,0,533,17.114446529080677,18.18906651066954,8.0,1,43
8,Linear Equations,0,142,5.577464788732394,5.563717242589613,4.0,1,62
9,Proportional Reasoning,0,595,5.097478991596638,5.425396418120046,4.0,2,46
10,Reflecting on Values,0,112,6.285714285714286,7.04353076314185,3.0,1,28
11,Sound,0,400,19.215,17.246953891814226,14.0,1,63
12,Understanding Motion,0,498,14.903614457831326,17.239429648208347,8.0,1,62
