,module_name,level_1,users,lessons_per_user,lessons_sd,lessons_median,lessons_mode,total_lessons,num_schools
0,Atomic Structure,0,1573,1.9186268277177367,2.0998582640203294,1.0,1,9,161
1,Basic Astronomy,0,1189,1.9419680403700588,2.5104153067661406,1.0,1,5,158
2,Ecosystem,0,646,1.9071207430340558,2.5238174741377115,1.0,1,11,86
3,English Beginner,0,2176,0.8694852941176471,2.0502799162446212,0.0,1,12,164
4,English Elementary,0,1028,0.3093385214007782,0.9020318674888844,0.0,1,25,161
5,Geometric Reasoning Part I,0,2001,1.4472763618190905,1.7763287500026446,1.0,2,7,168
6,Geometric Reasoning Part II,0,554,1.4584837545126355,2.514890600244938,1.0,1,5,160
7,Health and Disease,0,917,1.3238822246455835,1.764152684304112,1.0,1,8,92
8,Linear Equations,0,364,0.23076923076923078,0.56679317486424,0.0,1,2,155
9,Proportional Reasoning,0,998,0.8496993987975952,1.284681333329107,0.0,1,6,101
10,Reflecting on Values,0,277,0.8050541516245487,1.3586450573952393,0.0,1,21,70
11,Sound,0,903,2.662236987818383,2.8665790162514426,2.0,1,10,158
12,Understanding Motion,0,1024,2.025390625,2.573900859428005,1.0,1,12,155
