,module_name,level_1,users,lessons_per_user,total_lessons,num_schools
0,Atomic Structure,0,283,1.667844522968198,9,21
1,Basic Astronomy,0,159,2.169811320754717,5,21
2,Ecosystem,0,67,3.537313432835821,11,12
3,English Beginner,0,500,1.46,25,21
4,English Elementary,0,174,0.3563218390804598,13,21
5,Geometric Reasoning Part I,0,640,0.6828125,4,22
6,Geometric Reasoning Part II,0,110,0.2636363636363636,5,22
7,Health and Disease,0,122,1.180327868852459,8,14
8,Linear Equations,0,33,0.18181818181818182,1,19
9,Proportional Reasoning,0,112,0.4642857142857143,6,13
10,Reflecting on Values,0,24,0.16666666666666666,21,11
11,Sound,0,150,2.0,10,21
12,Understanding Motion,0,165,1.9757575757575758,12,21
