,module_name,level_1,users,lessons_per_user,lessons_sd,lessons_median,lessons_mode,total_lessons,num_schools
0,Atomic Structure,0,181,2.6077348066298343,1.9338349511193185,2.0,1,9,21
1,Basic Astronomy,0,108,3.1944444444444446,2.4664414311581235,3.0,1,5,21
2,Ecosystem,0,46,5.1521739130434785,3.313054255881642,5.0,1,11,12
3,English Beginner,0,195,3.7435897435897436,3.5877652114185783,2.0,1,25,21
4,English Elementary,0,32,1.9375,1.7768674864817942,2.0,1,13,21
5,Geometric Reasoning Part I,0,245,1.7836734693877552,1.0392594578879883,2.0,1,4,22
6,Geometric Reasoning Part II,0,27,1.0740740740740742,0.38490017945975047,1.0,1,5,22
7,Health and Disease,0,65,2.2153846153846155,1.2807750057619862,2.0,1,8,14
8,Linear Equations,0,5,1.2,0.44721359549995804,1.0,1,1,19
9,Proportional Reasoning,0,32,1.625,0.8706690049203728,1.0,1,6,13
10,Reflecting on Values,0,4,1.0,0.0,1.0,1,21,11
11,Sound,0,99,3.0303030303030303,2.0920380915804033,2.0,2,10,21
12,Understanding Motion,0,108,3.0185185185185186,2.371881549269695,2.0,1,12,21
