,module_name,level_1,users,lessons_per_user,total_lessons,num_schools
0,Atomic Structure,0,129,0.9689922480620154,9,15
1,Basic Astronomy,0,42,1.5476190476190477,7,10
2,Ecosystem,0,53,2.1132075471698113,11,7
3,English Beginner,0,270,1.348148148148148,12,15
4,English Elementary,0,108,1.2777777777777777,25,11
5,Geometric Reasoning Part I,0,293,1.4027303754266212,7,15
6,Geometric Reasoning Part II,0,21,0.9047619047619048,5,12
7,Health and Disease,0,57,1.0701754385964912,8,4
8,Linear Equations,0,38,0.4473684210526316,2,11
9,Proportional Reasoning,0,109,1.2568807339449541,6,10
10,Reflecting on Values,0,3,0.3333333333333333,21,1
11,Sound,0,63,2.142857142857143,10,12
12,Understanding Motion,0,64,1.984375,12,10
