,module_name,level_1,users,lessons_per_user,total_lessons,num_schools
0,Atomic Structure,0,938,2.331556503198294,9,63
1,Basic Astronomy,0,787,2.3036848792884372,5,64
2,Ecosystem,0,280,2.2857142857142856,11,33
3,English Beginner,0,834,0.6714628297362111,12,64
4,English Elementary,0,342,0.195906432748538,12,65
5,Geometric Reasoning Part I,0,749,2.1201602136181577,4,65
6,Geometric Reasoning Part II,0,315,2.0,5,63
7,Health and Disease,0,547,1.7586837294332724,8,43
8,Linear Equations,0,159,0.3333333333333333,5,62
9,Proportional Reasoning,0,612,0.8970588235294118,6,46
10,Reflecting on Values,0,131,1.1145038167938932,21,28
11,Sound,0,417,3.7721822541966428,10,63
12,Understanding Motion,0,526,2.5,12,62
