,module_name,level_1,users,lessons_per_user,lessons_sd,lessons_median,lessons_mode,total_lessons,num_schools
0,Atomic Structure,0,752,2.908244680851064,2.052788329096029,2.0,1,9,63
1,Basic Astronomy,0,595,3.0470588235294116,2.712572782291301,2.0,1,5,64
2,Ecosystem,0,197,3.248730964467005,2.9249212293083655,2.0,1,11,33
3,English Beginner,0,256,2.1875,2.179224542777347,1.0,1,12,64
4,English Elementary,0,46,1.4565217391304348,0.8616914049093709,1.0,1,12,65
5,Geometric Reasoning Part I,0,624,2.5448717948717947,2.0297718244422205,2.0,2,4,65
6,Geometric Reasoning Part II,0,192,3.28125,3.1712158469022538,2.0,1,5,63
7,Health and Disease,0,373,2.579088471849866,1.9280867516067794,2.0,1,8,43
8,Linear Equations,0,45,1.1777777777777778,0.6838689696694591,1.0,1,5,62
9,Proportional Reasoning,0,279,1.967741935483871,1.546299455185053,2.0,1,6,46
10,Reflecting on Values,0,60,2.433333333333333,1.7694839491579695,2.0,1,21,28
11,Sound,0,324,4.854938271604938,2.7214217844144537,5.0,7,10,63
12,Understanding Motion,0,421,3.1235154394299287,2.87252054456147,2.0,1,12,62
