,module_name,level_1,users,lessons_per_user,total_lessons,num_schools
0,Atomic Structure,0,226,1.0486725663716814,9,62
1,Basic Astronomy,0,210,0.6095238095238096,5,63
2,Ecosystem,0,246,0.9878048780487805,11,34
3,English Beginner,0,587,0.40545144804088584,12,64
4,English Elementary,0,419,0.12171837708830549,25,64
5,Geometric Reasoning Part I,0,334,1.377245508982036,15,66
6,Geometric Reasoning Part II,0,115,1.182608695652174,5,63
7,Health and Disease,0,191,0.24607329842931938,8,31
8,Linear Equations,0,140,0.05714285714285714,1,63
9,Proportional Reasoning,0,165,0.6666666666666666,6,32
10,Reflecting on Values,0,119,0.6050420168067226,21,30
11,Sound,0,276,1.4456521739130435,10,62
12,Understanding Motion,0,281,1.0889679715302492,12,62
