,module_name,level_1,users,lessons_per_user,lessons_sd,lessons_median,lessons_mode,total_lessons,num_schools
0,Atomic Structure,0,109,2.1743119266055047,1.9285574953607152,1.0,1,9,62
1,Basic Astronomy,0,89,1.4382022471910112,1.065524371332718,1.0,1,5,63
2,Ecosystem,0,137,1.7737226277372262,1.3557757749387216,1.0,1,11,34
3,English Beginner,0,100,2.38,2.9500214003675067,1.0,1,12,64
4,English Elementary,0,29,1.7586206896551724,1.0574623402207861,1.0,1,25,64
5,Geometric Reasoning Part I,0,233,1.9742489270386265,2.161422637310571,1.0,1,15,66
6,Geometric Reasoning Part II,0,59,2.305084745762712,2.2610208046148594,1.0,1,5,63
7,Health and Disease,0,43,1.0930232558139534,0.47878583980593153,1.0,1,8,31
8,Linear Equations,0,5,1.6,1.3416407864998738,1.0,1,1,63
9,Proportional Reasoning,0,77,1.4285714285714286,0.9518482219314089,1.0,1,6,32
10,Reflecting on Values,0,46,1.565217391304348,0.8340576562282991,1.0,1,21,30
11,Sound,0,153,2.607843137254902,2.555271368114526,1.0,1,10,62
12,Understanding Motion,0,138,2.217391304347826,2.335817993718228,1.0,1,12,62
