,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
4,4.0,99,24,31,74,14,32,47,29,364,209,1001,1011001-ct1,40,427,330,134
4,,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0
5,5.0,99,0,0,0,6,2,58,1,0,1,1003,1011003-ct3,6,2,59,56
6,6.0,99,25,176,86,2,4,10,9,16,14,1004,1011004-ct4,25,196,110,70
7,7.0,99,15,70,63,2,2,9,4,13,25,1005,1011005-ct5,16,85,97,52
8,8.0,99,9,32,31,5,17,21,13,220,79,1006,1011006-ct6,16,269,131,22
9,9.0,99,4,7,35,2,2,11,8,27,58,1007,1011007-ct7,8,36,104,53
10,10.0,99,2,0,26,1,2,8,2,12,11,1008,1011008-ct8,2,14,45,21
11,11.0,99,17,3,72,33,120,134,7,18,25,1009,1011009-ct9,38,141,231,100
12,12.0,99,3,0,13,6,11,18,8,72,35,1010,1011010-ct10,10,83,66,27
13,13.0,99,19,132,45,13,5,73,1,10,9,1011,1011011-ct11,28,147,127,54
5,,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0
14,14.0,99,1,0,10,6,24,25,5,14,19,1013,1011013-ct13,6,38,54,17
15,15.0,99,14,90,53,6,81,44,17,212,75,1014,1011014-ct14,24,383,172,51
6,,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0
16,16.0,99,4,35,30,5,20,29,4,12,26,1016,1011016-ct16,5,67,85,24
17,17.0,99,3,0,12,2,2,9,8,183,79,1017,1011017-ct17,9,185,100,32
18,18.0,99,13,54,60,17,29,102,14,486,170,1018,1011018-ct18,26,569,332,83
19,19.0,99,3,0,12,17,43,76,3,34,21,1019,1011019-ct19,19,77,109,71
20,20.0,99,10,20,25,18,15,49,7,8,13,1020,1011020-ct20,18,43,87,54
7,,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0
21,21.0,99,4,7,26,15,30,60,8,95,85,1022,1011022-ct22,20,132,171,54
8,,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0
22,22.0,99,1,0,10,16,14,84,1,10,9,1024,1011024-ct24,16,24,103,70
0,,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0
23,23.0,99,2,0,11,2,6,10,3,11,11,1026,1011026-ct26,4,17,32,9
1,,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,0,0
24,24.0,99,9,2,41,5,2,13,6,10,22,1028,1011028-ct28,9,14,76,33
2,,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0
0,0.0,99,9,8,26,11,11,28,10,31,46,1031,1011031-ct31,13,50,100,30
1,1.0,99,6,0,27,11,5,53,1,10,9,1032,1011032-ct32,14,15,89,52
2,2.0,99,13,11,44,15,14,53,7,23,32,1033,1011033-ct33,16,48,129,45
3,3.0,99,20,18,42,11,30,31,20,62,67,1034,1011034-ct34,23,110,140,37
