,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
0,0.0,99,2,26,52,9,86,54,3,76,42,1002,2031002-mz2,10,188,148,30
1,1.0,99,5,89,56,9,228,167,9,210,115,1003,2031003-mz3,17,527,338,147
2,2.0,99,2,0,4,1,3,3,1,1,1,1004,2031004-mz4,2,4,8,5
3,3.0,99,0,0,0,3,47,38,1,0,1,1005,2031005-mz5,3,47,39,37
3,,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0
4,4.0,99,5,10,14,4,8,13,3,11,14,1007,2031007-mz7,6,29,41,9
5,5.0,99,4,49,24,2,6,15,0,0,0,1008,2031008-mz8,5,55,39,26
4,,0,0,0,0,0,0,0,0,0,0,1009,0,0,0,0,0
6,6.0,99,1,0,10,1,2,8,1,10,9,1010,2031010-mz10,1,12,27,6
5,,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0
7,7.0,99,1,0,10,3,21,19,1,10,9,1012,2031012-mz12,3,31,38,17
6,,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0
8,8.0,99,9,146,69,3,25,32,5,10,49,1017,2031017-mz17,13,181,150,53
10,,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0
9,9.0,99,8,40,25,8,22,30,4,71,46,1020,2031020-mz20,13,133,101,28
10,10.0,99,3,2,31,2,2,4,3,1,13,1021,2031021-mz21,3,5,48,30
11,11.0,99,1,0,10,2,38,44,2,51,27,1022,2031022-mz22,3,89,81,42
12,,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0
0,,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,1026,0,0,0,0,0
12,12.0,99,5,38,14,2,17,9,4,24,15,1027,2031027-mz27,6,79,38,16
13,13.0,99,1,0,2,1,2,3,1,2,1,1028,2031028-mz28,1,4,6,4
14,14.0,99,12,78,36,7,32,26,9,149,74,1029,2031029-mz29,15,259,136,23
15,15.0,99,5,3,71,5,23,39,3,31,40,1030,2031030-mz30,7,57,150,102
