,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
0,0.0,05,12,0,25,10,78,47,19,308,143,1001,3051001-rj1,20,386,215,67
1,1.0,05,4,0,24,3,6,12,7,96,98,1002,3051002-rj2,7,102,134,41
3,,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0
2,2.0,05,5,6,51,5,7,25,8,63,61,1004,3051004-rj4,8,76,137,52
3,3.0,05,1,0,10,1,2,8,1,10,9,1005,3051005-rj5,1,12,27,6
4,4.0,05,4,0,16,4,19,32,12,315,124,1006,3051006-rj6,12,334,172,66
7,,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,1009,0,0,0,0,0
5,5.0,05,9,0,30,9,38,34,10,49,44,1010,3051010-rj10,13,87,108,33
6,6.0,05,2,0,16,2,4,17,3,43,60,1011,3051011-rj11,3,47,93,40
12,,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0
7,7.0,05,3,2,23,4,117,77,4,79,48,1013,3051013-rj13,6,198,148,47
8,8.0,05,2,0,15,2,6,14,1,10,9,1014,3051014-rj14,3,16,38,17
9,9.0,05,4,0,27,4,6,13,4,44,61,1015,3051015-rj15,4,50,101,42
16,,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0
10,10.0,05,6,100,24,5,52,31,4,146,31,1018,3051018-rj18,7,298,86,27
11,11.0,05,1,0,10,1,2,8,1,10,9,1019,3051019-rj19,1,12,27,6
17,,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0
12,12.0,05,7,20,45,6,115,53,7,185,75,1022,3051022-rj22,10,320,173,62
13,13.0,05,2,2,13,2,3,13,3,102,39,1023,3051023-rj23,3,107,65,31
14,14.0,05,2,55,22,3,15,25,0,0,0,1024,3051024-rj24,3,70,47,28
15,15.0,05,6,41,27,8,175,75,6,18,25,1025,3051025-rj25,9,234,127,58
16,16.0,05,9,27,47,8,52,49,11,74,72,1026,3051026-rj26,12,153,168,44
17,17.0,05,3,3,10,4,18,30,5,26,50,1027,3051027-rj27,5,47,90,27
18,18.0,05,1,0,10,2,3,9,2,11,10,1028,3051028-rj28,2,14,29,8
0,,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0
19,19.0,05,3,40,54,5,30,35,6,81,46,1030,3051030-rj30,6,151,135,72
20,20.0,05,6,1,22,5,32,45,12,43,57,1031,3051031-rj31,13,76,124,45
21,21.0,05,10,0,34,15,126,89,18,330,134,1032,3051032-rj32,19,456,257,43
22,22.0,05,6,14,43,7,20,27,9,182,121,1033,3051033-rj33,11,216,191,73
1,,0,0,0,0,0,0,0,0,0,0,1034,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0
23,23.0,05,2,1,2,2,1,8,11,69,53,1036,3051036-rj36,11,71,63,27
4,,0,0,0,0,0,0,0,0,0,0,1037,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0
24,24.0,05,1,0,10,1,2,8,1,10,9,1040,3051040-rj40,1,12,27,6
25,25.0,05,4,0,24,1,2,8,4,19,19,1041,3051041-rj41,5,21,51,19
9,,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0
26,26.0,05,1,0,1,2,4,13,2,26,24,1044,3051044-rj44,3,30,38,26
27,27.0,05,2,0,11,2,26,25,2,10,10,1045,3051045-rj45,2,36,46,16
13,,0,0,0,0,0,0,0,0,0,0,1046,0,0,0,0,0
28,28.0,05,5,24,40,3,15,17,3,24,22,1047,3051047-rj47,7,63,79,38
15,,0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0
29,29.0,05,5,4,28,6,31,37,7,108,69,1049,3051049-rj49,7,143,134,60
