,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
30,30.0,07,9,3,39,6,68,56,12,276,150,2002,3072002-rj52,12,347,245,96
31,31.0,07,1,0,10,2,5,11,8,125,86,2003,3072003-rj53,8,130,107,66
4,,0,0,0,0,0,0,0,0,0,0,2004,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,2005,0,0,0,0,0
32,32.0,07,1,0,10,3,14,25,4,54,43,2006,3072006-rj56,4,68,78,39
7,,0,0,0,0,0,0,0,0,0,0,2007,0,0,0,0,0
33,33.0,07,2,0,12,2,5,35,7,201,96,2008,3072008-rj58,7,206,143,81
9,,0,0,0,0,0,0,0,0,0,0,2009,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,2010,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0
34,34.0,07,4,4,28,2,2,9,7,75,43,2012,3072012-rj62,7,81,80,40
35,35.0,07,5,32,29,1,2,8,2,10,10,2013,3072013-rj63,6,44,47,23
36,36.0,07,1,0,10,1,2,8,3,267,48,2014,3072014-rj64,3,269,66,25
37,37.0,07,4,20,44,3,28,30,5,442,104,2015,3072015-rj65,5,490,178,42
38,38.0,07,1,0,10,2,4,10,4,221,60,2016,3072016-rj66,4,225,80,32
0,,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0
39,39.0,07,3,1,23,5,2,32,2,25,31,2018,3072018-rj68,5,28,86,48
40,40.0,07,1,0,10,2,2,9,2,18,16,2019,3072019-rj69,2,20,35,12
1,,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0
41,41.0,07,2,0,11,2,2,24,3,50,38,2022,3072022-rj72,3,52,73,27
42,42.0,07,12,27,64,11,178,116,15,358,153,2023,3072023-rj73,18,563,333,109
43,43.0,07,7,10,61,7,103,86,5,84,46,2024,3072024-rj74,9,197,193,84
44,44.0,07,5,3,32,5,54,35,8,174,98,2025,3072025-rj75,8,231,165,53
45,45.0,07,5,14,59,12,164,140,8,225,107,2026,3072026-rj76,13,403,306,98
46,46.0,07,5,15,23,4,53,32,5,55,40,2027,3072027-rj77,10,123,95,32
47,47.0,07,3,0,14,6,29,57,7,228,91,2028,3072028-rj78,7,257,162,66
48,48.0,07,3,32,25,3,2,41,3,87,45,2029,3072029-rj79,4,121,111,42
49,49.0,07,7,5,61,7,36,38,12,206,138,2030,3072030-rj80,14,247,237,91
50,50.0,07,5,1,25,2,11,22,13,104,60,2031,3072031-rj81,16,116,107,51
51,51.0,07,7,28,42,7,97,73,9,388,148,2032,3072032-rj82,9,513,263,72
52,52.0,07,3,52,35,3,31,29,3,11,14,2033,3072033-rj83,4,94,78,48
53,53.0,07,4,6,28,2,2,19,2,10,35,2034,3072034-rj84,4,18,82,43
54,54.0,07,1,0,10,2,2,26,3,10,28,2035,3072035-rj85,3,12,64,25
55,55.0,07,4,0,20,6,39,36,7,1143,274,2036,3072036-rj86,7,1182,330,107
6,,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,2038,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,2039,0,0,0,0,0
56,56.0,07,0,0,0,1,0,16,2,7,9,2040,3072040-rj90,2,7,25,18
57,57.0,07,3,0,24,5,7,23,4,42,46,2041,3072041-rj91,6,49,93,31
58,58.0,07,6,10,67,5,87,60,8,95,87,2042,3072042-rj92,8,192,214,76
59,59.0,07,2,3,44,4,72,63,5,123,75,2043,3072043-rj93,5,198,182,75
60,60.0,07,4,0,28,5,117,67,5,498,125,2044,3072044-rj94,6,615,220,47
12,,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0
61,61.0,07,4,10,23,4,17,26,5,155,35,2046,3072046-rj96,6,182,84,49
62,62.0,07,4,0,18,1,2,8,2,16,21,2047,3072047-rj97,4,18,47,14
63,63.0,07,2,0,11,2,35,28,3,13,16,2048,3072048-rj98,3,48,55,25
64,64.0,07,6,8,28,2,4,15,5,42,52,2049,3072049-rj99,7,54,95,20
65,65.0,07,3,0,14,4,186,65,7,384,103,2050,3072050-rj100,7,570,182,51
