,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
10,10.0,20,5,0,26,5,16,23,6,112,57,2002,4152002-tg202,6,128,106,34
36,36.0,20,1,0,10,1,2,8,2,24,24,2003,4202003-tg203,2,26,42,17
37,37.0,20,8,1,74,7,15,37,7,80,109,2004,4202004-tg204,8,96,220,63
42,,0,0,0,0,0,0,0,0,0,0,2005,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,2006,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0,2007,0,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,2008,0,0,0,0,0
46,,0,0,0,0,0,0,0,0,0,0,2009,0,0,0,0,0
38,38.0,20,16,29,47,8,19,17,11,24,32,2010,4202010-tg210,17,72,96,35
47,,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0
11,11.0,20,6,0,31,5,9,17,8,66,52,2012,4152012-tg212,9,75,100,29
12,12.0,20,7,3,47,7,15,32,8,39,89,2013,4152013-tg213,8,57,168,35
48,,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0
13,13.0,20,2,0,32,2,2,22,2,10,57,2015,4152015-tg215,2,12,111,20
49,,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0
14,14.0,20,3,0,16,3,2,20,4,15,21,2017,4152017-tg217,4,17,57,16
50,,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,2019,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,2022,0,0,0,0,0
15,15.0,20,2,0,12,1,2,8,2,11,11,2023,4152023-tg223,2,13,31,9
55,,0,0,0,0,0,0,0,0,0,0,2024,0,0,0,0,0
56,,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0
57,,0,0,0,0,0,0,0,0,0,0,2026,0,0,0,0,0
58,,0,0,0,0,0,0,0,0,0,0,2027,0,0,0,0,0
59,,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,0,0
60,,0,0,0,0,0,0,0,0,0,0,2029,0,0,0,0,0
16,16.0,20,2,0,11,2,3,9,2,10,10,2030,4152030-tg230,2,13,30,9
17,17.0,20,17,68,51,21,166,73,22,245,94,2031,4152031-tg231,27,479,218,44
39,39.0,20,6,0,25,6,20,32,6,27,23,2032,4202032-tg232,7,47,80,30
18,18.0,20,1,0,10,1,2,8,1,10,9,2033,4152033-tg233,1,12,27,6
40,40.0,20,21,21,126,12,51,91,20,212,209,2034,4202034-tg234,23,284,426,91
19,19.0,20,6,0,18,6,12,25,5,19,38,2035,4152035-tg235,6,31,81,20
61,,0,0,0,0,0,0,0,0,0,0,2036,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0
20,20.0,20,2,7,12,1,1,5,2,0,1,2038,4152038-tg238,2,8,18,12
63,,0,0,0,0,0,0,0,0,0,0,2039,0,0,0,0,0
64,,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0
21,21.0,20,4,0,20,2,4,10,3,10,13,2041,4152041-tg241,4,14,43,14
65,,0,0,0,0,0,0,0,0,0,0,2042,0,0,0,0,0
0,0.0,20,3,0,16,2,2,9,2,13,12,2043,4112043-tg243,3,15,37,12
66,,0,0,0,0,0,0,0,0,0,0,2044,0,0,0,0,0
67,,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0
68,,0,0,0,0,0,0,0,0,0,0,2046,0,0,0,0,0
69,,0,0,0,0,0,0,0,0,0,0,2047,0,0,0,0,0
0,,0,0,0,0,0,0,0,0,0,0,2048,0,0,0,0,0
22,22.0,20,1,0,10,2,2,9,4,15,11,2049,4152049-tg249,5,17,30,9
1,,0,0,0,0,0,0,0,0,0,0,2050,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,2051,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,2053,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,2054,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,2055,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,2056,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,2057,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,2058,0,0,0,0,0
41,41.0,20,9,11,33,5,3,12,7,20,24,2059,4202059-tg259,10,34,69,25
10,,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,2061,0,0,0,0,0
1,1.0,20,1,0,10,1,2,8,1,10,9,2062,4112062-tg262,1,12,27,6
12,,0,0,0,0,0,0,0,0,0,0,2063,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,2065,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,2066,0,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,2067,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,2068,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,2069,0,0,0,0,0
19,,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,2071,0,0,0,0,0
23,23.0,20,7,0,58,9,75,69,8,62,97,2072,4152072-tg272,11,137,224,60
21,,0,0,0,0,0,0,0,0,0,0,2073,0,0,0,0,0
42,42.0,20,3,0,15,3,9,12,3,12,14,2074,4202074-tg274,3,21,41,13
22,,0,0,0,0,0,0,0,0,0,0,2075,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,2076,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,2077,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,2079,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,2081,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,0,0
43,43.0,20,22,7,48,12,6,24,27,69,75,2083,4202083-tg283,29,82,147,34
30,,0,0,0,0,0,0,0,0,0,0,2084,0,0,0,0,0
2,2.0,20,4,0,20,4,12,19,3,11,13,2085,4112085-tg285,4,23,52,19
