,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
30,30.0,30,1,0,10,1,2,8,1,10,9,3016,4183016-tg16,1,12,27,6
6,,0,0,0,0,0,0,0,0,0,0,3017,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,3018,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,3019,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,3020,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,3021,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,3022,0,0,0,0,0
31,31.0,30,0,0,0,1,2,3,1,2,2,3023,4183023-tg23,1,4,5,1
12,,0,0,0,0,0,0,0,0,0,0,3024,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,3026,0,0,0,0,0
26,26.0,30,1,0,10,1,2,8,1,10,9,3027,4173027-tg27,1,12,27,6
15,,0,0,0,0,0,0,0,0,0,0,3028,0,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,3029,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,3031,0,0,0,0,0
32,32.0,30,1,0,10,1,2,8,1,10,9,3032,4183032-tg32,1,12,27,6
19,,0,0,0,0,0,0,0,0,0,0,3033,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,3035,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,3037,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,3038,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,3039,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,3041,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,3042,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,3043,0,0,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,3044,0,0,0,0,0
44,44.0,30,4,0,14,2,7,11,3,16,42,3045,4213045-tg45,4,23,67,37
31,,0,0,0,0,0,0,0,0,0,0,3046,0,0,0,0,0
32,,0,0,0,0,0,0,0,0,0,0,3047,0,0,0,0,0
33,,0,0,0,0,0,0,0,0,0,0,3048,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,3049,0,0,0,0,0
35,,0,0,0,0,0,0,0,0,0,0,3050,0,0,0,0,0
36,,0,0,0,0,0,0,0,0,0,0,3051,0,0,0,0,0
33,33.0,30,1,0,10,1,2,8,1,10,9,3052,4183052-tg52,1,12,27,6
37,,0,0,0,0,0,0,0,0,0,0,3053,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,3054,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,3055,0,0,0,0,0
40,,0,0,0,0,0,0,0,0,0,0,3056,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,3057,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,3058,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0,3060,0,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,3061,0,0,0,0,0
46,,0,0,0,0,0,0,0,0,0,0,3062,0,0,0,0,0
47,,0,0,0,0,0,0,0,0,0,0,3063,0,0,0,0,0
48,,0,0,0,0,0,0,0,0,0,0,3064,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,3065,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,3066,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,3067,0,0,0,0,0
34,34.0,30,0,0,0,1,0,1,0,0,0,3068,4183068-tg68,1,0,1,1
52,,0,0,0,0,0,0,0,0,0,0,3069,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,3070,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,3071,0,0,0,0,0
0,,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,3073,0,0,0,0,0
27,27.0,30,5,3,39,2,1,9,1,4,6,3074,4173074-tg74,5,8,54,37
28,28.0,30,4,2,8,3,4,6,8,29,29,3075,4173075-tg75,8,35,43,11
2,,0,0,0,0,0,0,0,0,0,0,3076,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,3077,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,3078,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,3079,0,0,0,0,0
29,29.0,30,1,0,10,1,2,8,1,10,9,3080,4173080-tg80,1,12,27,6
