,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
3,3.0,10,17,6,54,10,12,29,9,25,41,1008,4141008-tg108,19,43,124,54
4,4.0,10,3,0,19,6,26,43,4,67,72,1009,4141009-tg109,6,93,134,33
48,,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0
5,5.0,10,1,0,10,1,2,8,1,10,9,1012,4141012-tg112,1,12,27,6
50,,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0
45,45.0,10,4,0,16,1,2,8,2,17,18,1018,4221018-tg118,4,19,42,11
55,,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0
56,,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0
57,,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0
58,,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0
54,54.0,10,9,69,24,4,10,6,6,13,17,1023,4231023-tg123,9,92,47,17
0,,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0
46,46.0,10,4,0,28,2,3,15,3,11,27,1026,4221026-tg126,5,14,70,23
55,55.0,10,1,0,10,1,2,8,1,10,9,1027,4231027-tg127,1,12,27,6
2,,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0
56,56.0,10,6,10,37,8,13,24,10,32,53,1029,4231029-tg129,11,55,114,36
3,,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0
47,47.0,10,1,0,10,1,2,8,1,10,9,1034,4221034-tg134,1,12,27,6
6,6.0,10,1,0,10,1,2,8,1,10,9,1035,4141035-tg135,1,12,27,6
57,57.0,10,34,1,80,35,64,107,21,18,78,1036,4231036-tg136,39,83,265,58
7,,0,0,0,0,0,0,0,0,0,0,1037,0,0,0,0,0
7,7.0,10,2,0,11,1,2,8,1,10,9,1038,4141038-tg138,2,12,28,7
8,,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0
48,48.0,10,10,3,36,13,27,36,12,36,78,1040,4221040-tg140,18,66,150,50
9,,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0
58,58.0,10,2,9,31,3,7,26,3,13,40,1043,4231043-tg143,3,29,97,30
11,,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0
8,8.0,10,1,0,10,4,5,11,8,15,15,1045,4141045-tg145,9,20,36,8
59,59.0,10,12,1,55,4,3,13,7,15,25,1046,4231046-tg146,13,19,93,44
60,60.0,10,1,0,10,1,2,8,1,10,9,1047,4231047-tg147,1,12,27,6
12,,0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0
61,61.0,10,1,0,10,1,2,8,1,10,9,1050,4231050-tg150,1,12,27,6
62,62.0,10,3,10,30,2,2,10,2,20,23,1051,4231051-tg151,3,32,63,28
14,,0,0,0,0,0,0,0,0,0,0,1052,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,1054,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0
63,63.0,10,1,0,10,1,2,8,1,10,9,1057,4231057-tg157,1,12,27,6
64,64.0,10,1,0,10,1,2,8,1,10,9,1058,4231058-tg158,1,12,27,6
19,,0,0,0,0,0,0,0,0,0,0,1059,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0
49,49.0,10,4,0,23,4,8,27,4,15,47,1067,4221067-tg167,4,23,97,19
50,50.0,10,1,0,10,1,2,8,1,10,9,1068,4221068-tg168,1,12,27,6
27,,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,1072,0,0,0,0,0
31,,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,0
51,51.0,10,2,2,19,2,6,14,2,56,47,1074,4221074-tg174,2,64,80,23
32,,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0
33,,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,0
65,65.0,10,0,0,0,1,0,1,0,0,0,1078,4231078-tg178,1,0,1,1
35,,0,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,0
36,,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0
37,,0,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,0
66,66.0,10,6,3,19,5,7,19,21,227,78,1084,4231084-tg184,22,237,116,55
40,,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0
9,9.0,10,1,0,10,1,2,8,1,10,9,1090,4141090-tg190,1,12,27,6
45,,0,0,0,0,0,0,0,0,0,0,1091,0,0,0,0,0
