server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,date_created,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on,month_slot
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,blue-copper-sp100,1259953,Grade 8,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,blue-copper-sp100,1259953,Grade 8,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,blue-copper-sp100,1259953,Grade 8,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,blue-copper-sp100,1259953,Grade 8,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,black-apple-sp100,1260002,Grade 9,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,black-apple-sp100,1260002,Grade 9,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,black-apple-sp100,1260002,Grade 9,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Linear Equations'],le-unit1-making-solving-puzzles,black-apple-sp100,1260002,Grade 9,No,[],1,0,0.0,7,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-peacock-sp100,1260193,Grade 8,No,[],4,0,0.0,14,0,0.0,2018-07-03 12:45:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-peacock-sp100,1260193,Grade 8,No,[],4,0,0.0,14,0,0.0,2018-07-03 12:45:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
