CurrentMission,,school_server_code,tool_name,createdat_start,createdat_end,current_mission,time_spent,appData,StagePlayed_new,language,session_id,user_id,domain,date_created,mission_skip_number,mission_skip_forward,mission_skip_backward,stage_skip_number,stage_skip_number_backward,createdat_end_new,anomoly_flag,ToolsClicked,MissionsCompleted,CurrentLevel,CurrentMission,scoreAchieved,GlossaryDownloaded,MissionsPlayed,starEarned,NumberOfClues,StagePlayed,ReplayUsedNumber,CorrectRelease,TimeSpentStage,starTotal,IncorrectRelease,statusConpleted,StorySkiped,highScore,HyperlinksClicked,NumberOfErrors,ts_hr,ts_min,ts_sec,clue_number,clue_text,clue_result
Mission1,2,1011020-ct20,policesquad,,2018-08-23 11:04:24,Mission 1,0:3:41,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['exactly4emptysides', ['fig026', 'fig033', 'fig046', 'fig030', None, None, None, None], ['अपराधी\xa0के\xa0पास 5 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास सब समान भुजाएँ हैं', 'अपराधी\xa0के\xa0पास 6 से कम  भुजाएँ हैं'], ['Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig033""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:41'}",1.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,1.0,0.0,2018-08-23 11:04,0.0,[],"[0,0,0,0]",,Mission1,30.0,False,"[1,0,0,0]",0.0,,1.0,0.0,[],0:2:28,0.0,"[{""clue"":2,""fig"":[""fig033""]}]",passed,True,30.0,[],,0.0,3.0,41.0,1.0,अपराधी\xa0के\xa0पास6सेकमभुजाएँहैं],Correct]]
Mission1,1,1011020-ct20,policesquad,,2018-08-23 11:04:24,Mission 1,0:3:41,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['exactly4emptysides', ['fig026', 'fig033', 'fig046', 'fig030', None, None, None, None], ['अपराधी\xa0के\xa0पास 5 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास सब समान भुजाएँ हैं', 'अपराधी\xa0के\xa0पास 6 से कम  भुजाएँ हैं'], ['Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig033""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:41'}",1.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,1.0,0.0,2018-08-23 11:04,0.0,[],"[0,0,0,0]",,Mission1,30.0,False,"[1,0,0,0]",0.0,,1.0,0.0,[],0:2:28,0.0,"[{""clue"":2,""fig"":[""fig033""]}]",passed,True,30.0,[],,0.0,3.0,41.0,2.0,अपराधी\xa0के\xa0पाससबसमानभुजाएँहैं,Incorrect
Mission1,0,1011020-ct20,policesquad,,2018-08-23 11:04:24,Mission 1,0:3:41,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['exactly4emptysides', ['fig026', 'fig033', 'fig046', 'fig030', None, None, None, None], ['अपराधी\xa0के\xa0पास 5 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास सब समान भुजाएँ हैं', 'अपराधी\xa0के\xa0पास 6 से कम  भुजाएँ हैं'], ['Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig033""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:41'}",1.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,1.0,0.0,2018-08-23 11:04,0.0,[],"[0,0,0,0]",,Mission1,30.0,False,"[1,0,0,0]",0.0,,1.0,0.0,[],0:2:28,0.0,"[{""clue"":2,""fig"":[""fig033""]}]",passed,True,30.0,[],,0.0,3.0,41.0,3.0,[अपराधी\xa0के\xa0पास5सेकमभुजाएँहैं,[Correct
Mission1,1,1011020-ct20,policesquad,,2018-08-23 11:09:03,Mission 1,0:2:48,"{'ToolsClicked': '[""Right Angle tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['all1rightangles', ['fig036', 'fig030', 'fig025', 'fig013', None, None, None, None], ['अपराधी\xa0के\xa0पास 5 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास कम से कम 1 सम कोण हैं'], ['Incorrect', 'Incorrect']], 'scoreAchieved': 10, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'CorrectRelease': '[]', 'TimeSpentStage': '0:2:48', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig025""]},{""clue"":1,""fig"":[""fig025""]},{""clue"":2,""fig"":[""fig036""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:09,0.0,"[""RightAngletool""]","[0,0,0,0]",,Mission1,10.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:48,0.0,"[{""clue"":1,""fig"":[""fig025""]},{""clue"":1,""fig"":[""fig025""]},{""clue"":2,""fig"":[""fig036""]}]",failed,True,30.0,[],,0.0,2.0,48.0,1.0,अपराधी\xa0के\xa0पासकमसेकम1समकोणहैं],Incorrect]]
Mission1,0,1011020-ct20,policesquad,,2018-08-23 11:09:03,Mission 1,0:2:48,"{'ToolsClicked': '[""Right Angle tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['all1rightangles', ['fig036', 'fig030', 'fig025', 'fig013', None, None, None, None], ['अपराधी\xa0के\xa0पास 5 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास कम से कम 1 सम कोण हैं'], ['Incorrect', 'Incorrect']], 'scoreAchieved': 10, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'CorrectRelease': '[]', 'TimeSpentStage': '0:2:48', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig025""]},{""clue"":1,""fig"":[""fig025""]},{""clue"":2,""fig"":[""fig036""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:09,0.0,"[""RightAngletool""]","[0,0,0,0]",,Mission1,10.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:48,0.0,"[{""clue"":1,""fig"":[""fig025""]},{""clue"":1,""fig"":[""fig025""]},{""clue"":2,""fig"":[""fig036""]}]",failed,True,30.0,[],,0.0,2.0,48.0,2.0,[अपराधी\xa0के\xa0पास5सेकमभुजाएँहैं,[Incorrect
Mission1,1,1011020-ct20,policesquad,,2018-08-23 11:16:41,Mission 1,0:7:37,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['no1rightangles', ['fig003', 'fig029', 'fig030', 'fig015', None, None, None, None], ['अपराधी\xa0के\xa0पास 2 से कम सम कोण हैं', 'अपराधी\xa0के\xa0पास केवल 1 समान भुजाओं की जोड़ी  हैं'], ['', '']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:7:37'}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:16,0.0,"[""EqualSidestool""]","[0,0,0,0]",,Mission1,30.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:48,0.0,[],failed,True,30.0,[],,0.0,7.0,37.0,1.0,अपराधी\xa0के\xa0पासकेवल1समानभुजाओंकीजोड़ीहैं],Notavailable
Mission1,0,1011020-ct20,policesquad,,2018-08-23 11:16:41,Mission 1,0:7:37,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['no1rightangles', ['fig003', 'fig029', 'fig030', 'fig015', None, None, None, None], ['अपराधी\xa0के\xa0पास 2 से कम सम कोण हैं', 'अपराधी\xa0के\xa0पास केवल 1 समान भुजाओं की जोड़ी  हैं'], ['', '']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:7:37'}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:16,0.0,"[""EqualSidestool""]","[0,0,0,0]",,Mission1,30.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:48,0.0,[],failed,True,30.0,[],,0.0,7.0,37.0,2.0,[अपराधी\xa0के\xa0पास2सेकमसमकोणहैं,Notavailable
Mission1,2,1011020-ct20,policesquad,,2018-08-23 11:18:45,Mission 1,0:2:4,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1rightangles', ['fig041', 'fig027', 'fig011', 'fig025', None, None, None, None], ['अपराधी\xa0के\xa0पास कोई सम कोण नहीं हैं', 'अपराधी\xa0के\xa0पास 4 से कम सम कोण हैं', 'अपराधी\xa0के\xa0पास केवल 4  भुजाएँ हैं'], ['Incorrect', 'Incorrect', 'Correct']], 'scoreAchieved': 20, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'CorrectRelease': '[]', 'TimeSpentStage': '0:2:4', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig027""]},{""clue"":3,""fig"":[""fig011""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:18,0.0,[],"[0,0,0,0]",,Mission1,20.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:4,0.0,"[{""clue"":2,""fig"":[""fig027""]},{""clue"":3,""fig"":[""fig011""]}]",failed,True,30.0,[],,0.0,2.0,4.0,1.0,अपराधी\xa0के\xa0पासकेवल4भुजाएँहैं],Correct]]
Mission1,1,1011020-ct20,policesquad,,2018-08-23 11:18:45,Mission 1,0:2:4,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1rightangles', ['fig041', 'fig027', 'fig011', 'fig025', None, None, None, None], ['अपराधी\xa0के\xa0पास कोई सम कोण नहीं हैं', 'अपराधी\xa0के\xa0पास 4 से कम सम कोण हैं', 'अपराधी\xa0के\xa0पास केवल 4  भुजाएँ हैं'], ['Incorrect', 'Incorrect', 'Correct']], 'scoreAchieved': 20, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'CorrectRelease': '[]', 'TimeSpentStage': '0:2:4', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig027""]},{""clue"":3,""fig"":[""fig011""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:18,0.0,[],"[0,0,0,0]",,Mission1,20.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:4,0.0,"[{""clue"":2,""fig"":[""fig027""]},{""clue"":3,""fig"":[""fig011""]}]",failed,True,30.0,[],,0.0,2.0,4.0,2.0,अपराधी\xa0के\xa0पास4सेकमसमकोणहैं,Incorrect
Mission1,0,1011020-ct20,policesquad,,2018-08-23 11:18:45,Mission 1,0:2:4,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1rightangles', ['fig041', 'fig027', 'fig011', 'fig025', None, None, None, None], ['अपराधी\xa0के\xa0पास कोई सम कोण नहीं हैं', 'अपराधी\xa0के\xa0पास 4 से कम सम कोण हैं', 'अपराधी\xa0के\xa0पास केवल 4  भुजाएँ हैं'], ['Incorrect', 'Incorrect', 'Correct']], 'scoreAchieved': 20, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'CorrectRelease': '[]', 'TimeSpentStage': '0:2:4', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig027""]},{""clue"":3,""fig"":[""fig011""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,0.0,0.0,2018-08-23 11:18,0.0,[],"[0,0,0,0]",,Mission1,20.0,False,"[1,0,0,0]",0.0,,2.0,1.0,[],0:2:4,0.0,"[{""clue"":2,""fig"":[""fig027""]},{""clue"":3,""fig"":[""fig011""]}]",failed,True,30.0,[],,0.0,2.0,4.0,3.0,[अपराधी\xa0के\xa0पासकोईसमकोणनहींहैं,[Incorrect
Mission1,2,1011020-ct20,policesquad,,2018-08-23 11:20:39,Mission 1,0:1:53,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['all1rightangles', ['fig070', 'fig006', 'fig068', 'fig051', None, None, None, None], ['अपराधी\xa0के\xa0पास 1 से अधिक सम कोण हैं', 'अपराधी\xa0के\xa0पास 6 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास 2 से अधिक  भुजाएँ हैं'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[]', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:53'}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,1.0,0.0,2018-08-23 11:20,0.0,[],"[0,0,0,0]",,Mission1,80.0,False,"[1,0,0,0]",1.0,,2.0,1.0,[],0:2:4,1.0,[],passed,True,80.0,[],,0.0,1.0,53.0,1.0,अपराधी\xa0के\xa0पास2सेअधिकभुजाएँहैं],Correct]]
Mission1,1,1011020-ct20,policesquad,,2018-08-23 11:20:39,Mission 1,0:1:53,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['all1rightangles', ['fig070', 'fig006', 'fig068', 'fig051', None, None, None, None], ['अपराधी\xa0के\xa0पास 1 से अधिक सम कोण हैं', 'अपराधी\xa0के\xa0पास 6 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास 2 से अधिक  भुजाएँ हैं'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[]', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:53'}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,1.0,0.0,2018-08-23 11:20,0.0,[],"[0,0,0,0]",,Mission1,80.0,False,"[1,0,0,0]",1.0,,2.0,1.0,[],0:2:4,1.0,[],passed,True,80.0,[],,0.0,1.0,53.0,2.0,अपराधी\xa0के\xa0पास6सेकमभुजाएँहैं,Correct
Mission1,0,1011020-ct20,policesquad,,2018-08-23 11:20:39,Mission 1,0:1:53,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['all1rightangles', ['fig070', 'fig006', 'fig068', 'fig051', None, None, None, None], ['अपराधी\xa0के\xa0पास 1 से अधिक सम कोण हैं', 'अपराधी\xa0के\xa0पास 6 से कम  भुजाएँ हैं', 'अपराधी\xa0के\xa0पास 2 से अधिक  भुजाएँ हैं'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[]', 'StagePlayed': 2, 'ReplayUsedNumber': 1, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:53'}",2.0,hi,udyojn7hrqvuztkavexbhv9gzn51ctfb,546227.0,m,2018-08-23,0.0,0.0,0.0,1.0,0.0,2018-08-23 11:20,0.0,[],"[0,0,0,0]",,Mission1,80.0,False,"[1,0,0,0]",1.0,,2.0,1.0,[],0:2:4,1.0,[],passed,True,80.0,[],,0.0,1.0,53.0,3.0,[अपराधी\xa0के\xa0पास1सेअधिकसमकोणहैं,[Correct
