,clue_text
0,अपराधी\xa0के\xa0पास3सेअधिकभुजाएँहैं]
1,अपराधी\xa0के\xa0पास2सेकमसमानभुजाओंकीजोड़ीहैं
2,[अपराधी\xa0के\xa0पासकोईसमानभुजाओंकीजोड़ीनहींहैं
3,अपराधी\xa0के\xa0पास2सेअधिकसमकोणहैं]
4,अपराधी\xa0के\xa0पास6सेअधिकभुजाएँहैं]
5,अपराधी\xa0के\xa0पास2सेकमसमकोणहैं
6,अपराधी\xa0के\xa0पास2सेअधिकभुजाएँहैं]
7,अपराधी\xa0के\xa0पासकमसेकम1समकोणहैं
8,[अपराधी\xa0के\xa0पासकमसेकम5भुजाएँहैं
9,अपराधी\xa0के\xa0पासकेवल3भुजाएँहैं]
10,अपराधी\xa0के\xa0पास1सेअधिकसमकोणहैं
11,[अपराधी\xa0के\xa0पासकेवल2समकोणहैं
12,अपराधी\xa0के\xa0पास5सेकमभुजाएँहैं]
13,अपराधी\xa0के\xa0पासकेवल1समकोणहैं
14,[अपराधी\xa0के\xa0पास2सेकमसमकोणहैं
15,[अपराधी\xa0के\xa0पासकमसेकम4भुजाएँहैं
16,अपराधी\xa0के\xa0पास2सेकमसमानभुजाओंकीजोड़ीहैं]
17,[अपराधी\xa0के\xa0पास4सेअधिकभुजाएँहैं
18,अपराधी\xa0के\xa0पासकोईसमानभुजाओंकीजोड़ीनहींहैं]
19,[अपराधी\xa0के\xa0पास2सेअधिकसमकोणहैं
20,अपराधी\xa0के\xa0पास4सेअधिकभुजाएँहैं]
21,अपराधी\xa0के\xa0पास3सेकमसमकोणहैं
22,[अपराधी\xa0के\xa0पास3सेअधिकभुजाएँहैं
23,अपराधी\xa0के\xa0पास2सेकमसमकोणहैं]
24,अपराधी\xa0के\xa0पासकमसेकम1अधिककोणहैं
25,अपराधी\xa0के\xa0पासकमसेकम5भुजाएँहैं
26,अपराधी\xa0के\xa0पास4सेअधिकभुजाएँहैं
27,[अपराधी\xa0के\xa0पासकमसेकम2अधिककोणहैं
28,अपराधी\xa0के\xa0पास4सेकमअधिककोणहैं
29,अपराधी\xa0के\xa0पासकोईसमकोणनहींहैं
30,अपराधी\xa0के\xa0पास5सेकमअधिककोणहैं
31,[अपराधी\xa0के\xa0पास6सेकमभुजाएँहैं
32,अपराधी\xa0के\xa0पास6सेकमभुजाएँहैं
33,अपराधी\xa0के\xa0पास4सेकमसमकोणहैं
34,[अपराधी\xa0के\xa0पासकेवल2समानभुजाओंकीजोड़ीहैं
35,अपराधी\xa0के\xa0पासकमसेकम2अधिककोणहैं
36,अपराधी\xa0के\xa0पास4सेकमसमानभुजाओंकीजोड़ीहैं
37,[अपराधी\xa0के\xa0पासकमसेकम1अधिककोणहैं
38,[अपराधी\xa0के\xa0पास1सेअधिकअधिककोणहैं
39,अपराधी\xa0के\xa0पास1सेअधिकसमानभुजाओंकीजोड़ीहैं]
40,अपराधी\xa0के\xa0पासकमसेकम6भुजाएँहैं
41,[अपराधी\xa0के\xa0पास2सेअधिकसमानभुजाओंकीजोड़ीहैं
42,अपराधी\xa0के\xa0पासकमसेकम4भुजाएँहैं]
43,अपराधी\xa0के\xa0पास1सेअधिकसमानभुजाओंकीजोड़ीहैं
44,[अपराधी\xa0के\xa0पासकमसेकम3भुजाएँहैं
45,अपराधी\xa0के\xa0पासकमसेकम5भुजाएँहैं]
46,अपराधी\xa0के\xa0पासकेवल5भुजाएँहैं
47,अपराधी\xa0के\xa0पासकेवल2समानभुजाओंकीजोड़ीहैं]
48,[अपराधी\xa0के\xa0पासकेवल4भुजाएँहैं
49,अपराधी\xa0के\xa0पास3सेकमसमानभुजाओंकीजोड़ीहैं]
50,[अपराधी\xa0के\xa0पास2सेकमसमानभुजाओंकीजोड़ीहैं
51,अपराधी\xa0के\xa0पासकमसेकम2भुजाएँहैं]
52,अपराधी\xa0के\xa0पासकोईवक्रभुजाएँनहींहैं
53,अपराधी\xa0के\xa0पास2सेअधिकभुजाएँहैं
54,अपराधी\xa0के\xa0पासकमसेकम3भुजाएँहैं]
55,अपराधी\xa0के\xa0पासकेवल1समानभुजाओंकीजोड़ीहैं
56,[अपराधी\xa0के\xa0पास2सेअधिकभुजाएँहैं
57,अपराधी\xa0के\xa0पासकेवल6भुजाएँहैं]
58,[अपराधी\xa0के\xa0पाससबसमानभुजाएँहैं
59,अपराधी\xa0के\xa0पास3सेकमसमकोणहैं]
60,अपराधी\xa0के\xa0पासकमसेकम4भुजाएँहैं
61,[अपराधी\xa0के\xa0पास1सेअधिकसमानभुजाओंकीजोड़ीहैं
62,अपराधी\xa0के\xa0पास4सेकमसमकोणहैं]
63,अपराधी\xa0के\xa0पासकमसेकम2समकोणहैं]
64,अपराधी\xa0के\xa0पास3सेअधिकभुजाएँहैं
65,अपराधी\xa0के\xa0पास6सेकमअधिककोणहैं
66,अपराधी\xa0के\xa0पास3सेकमसमानभुजाओंकीजोड़ीहैं
67,अपराधी\xa0के\xa0पासकोईसमानभुजाओंकीजोड़ीनहींहैं
68,[अपराधी\xa0के\xa0पासकोईसमानभुजाएँनहींहैं
69,अपराधी\xa0के\xa0पासकमसेकम1भुजाएँहैं]
70,[अपराधी\xa0के\xa0पास5सेकमभुजाएँहैं
71,अपराधी\xa0के\xa0पास1सेअधिकअधिककोणहैं]
72,अपराधी\xa0के\xa0पास6सेकमभुजाएँहैं]
73,अपराधी\xa0के\xa0पास1सेअधिकअधिककोणहैं
74,अपराधी\xa0के\xa0पास5सेकमभुजाएँहैं
75,अपराधी\xa0के\xa0पासकेवल4भुजाएँहैं]
76,[अपराधी\xa0के\xa0पासकोईअधिककोणनहींहैं
77,अपराधी\xa0के\xa0पासकमसेकम2न्यूनकोणहैं
78,अपराधी\xa0के\xa0पासकमसेकम1भुजाएँहैं
79,अपराधी\xa0के\xa0पास2सेकमअधिककोणहैं
80,अपराधी\xa0के\xa0पास1सेअधिकभुजाएँहैं]
