,school_server_code,Mission_ts_1,Mission_ts_3,Mission_ts_4,Mission_num_users_1,Mission_num_users_3,Mission_num_users_4,num_users_pq,Mission_ts_2,Mission_num_users_2
0,-ct32,683.766666666667,20.0166666666667,3.08333333333333,25,1,1,25,0,0
1,-ct33,79.9333333333333,0,0,6,0,0,6,0,0
2,1011001-ct1,259.85,0,5.5,6,0,1,7,22.0166666666667,2
3,1011003-ct3,699.95,75.8833333333333,53.4833333333333,16,1,1,16,52.7166666666667,1
4,1011008-ct8,52.2833333333333,0,0,9,0,0,9,0,0
5,1011009-ct9,4625.28333333333,1296.51666666667,4081.05,62,41,75,84,1341.78333333333,45
6,1011011-ct11,1619.38333333333,336.533333333333,519.4,31,24,23,32,474.233333333333,20
7,1011013-ct13,12.3333333333333,0,0,1,0,0,1,0,0
8,1011014-ct14,105.216666666667,0,0,10,0,0,10,0,0
9,1011016-ct16,1.18333333333333,0,0,1,0,0,1,0,0
10,1011017-ct17,2.26666666666667,0,0,1,0,0,1,0,0
11,1011018-ct18,513.6,16.5,9.61666666666667,38,2,1,39,34.9,4
12,1011019-ct19,3187.23333333333,28.5333333333333,0,42,2,0,42,474.8,16
13,1011020-ct20,2449.26666666667,91.05,411.15,38,5,13,38,424.5,17
14,1011022-ct22,1670.96666666667,0,0,33,0,0,33,136.933333333333,8
15,1011023-ct23,627.633333333333,0,0,20,0,0,20,0,0
16,1011024-ct24,2350.18333333333,1003.45,604.416666666667,49,41,27,55,903.25,30
