school_server_code,tool_name,createdat_start,createdat_end,current_mission,time_spent,appData,StagePlayed_new,language,session_id,user_id,domain
2031004-mz4,policesquad,,2018-07-11 12:44:31,Mission 1,0:2:0,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'scoreAchieved': 80, 'CurrentLevel': '', 'CaseDetails': ['exactly3emptysides', ['fig004', 'fig015', 'fig039', 'fig018', None, None, None, None], ['The culprit has less than 4 straight sides', 'The culprit has exactly 1 equal pairs of sides ', 'The culprit has less than 5 straight sides'], ['Correct', 'Correct', 'Correct']], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig039""]},{""clue"":2,""fig"":[""fig018""]},{""clue"":3,""fig"":[""fig015""]}]', 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'highScore': 80, 'HyperlinksClicked': '[""straight sides"",""equal pairs of sides""]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:2:0'}",1,en,7nfsga5a3dctzz64h8xtt91lzoy3sckg,4233,m
2031004-mz4,policesquad,,2018-07-11 12:44:31,Mission 1,0:2:0,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'scoreAchieved': 80, 'CurrentLevel': '', 'CaseDetails': ['exactly3emptysides', ['fig004', 'fig015', 'fig039', 'fig018', None, None, None, None], ['The culprit has less than 4 straight sides', 'The culprit has exactly 1 equal pairs of sides ', 'The culprit has less than 5 straight sides'], ['Correct', 'Correct', 'Correct']], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig039""]},{""clue"":2,""fig"":[""fig018""]},{""clue"":3,""fig"":[""fig015""]}]', 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'highScore': 80, 'HyperlinksClicked': '[""straight sides"",""equal pairs of sides""]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:2:0'}",1,en,7nfsga5a3dctzz64h8xtt91lzoy3sckg,4232,m
2031030-mz30,policesquad,,2018-08-23 13:05:50,Mission 1,0:2:40,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'scoreAchieved': 80, 'CurrentLevel': '', 'CaseDetails': ['exactly2equalpairsofsides', ['fig022', 'fig041', 'fig049', 'fig037', None, None, None, None], ['The culprit has more than 1 equal pairs of sides ', 'The culprit has atleast 5 straight sides', 'The culprit has less than 6 straight sides'], ['Correct', 'Correct', 'Correct']], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig049""]},{""clue"":2,""fig"":[""fig022""]},{""clue"":3,""fig"":[""fig041""]}]', 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'highScore': 80, 'HyperlinksClicked': '[]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:2:40'}",1,en,mvuemxn7wcq4prt7z71mb8ronh8pupvj,31712,m
2031030-mz30,policesquad,,2018-10-18 12:56:33,Mission 1,0:7:25,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig051""]},{""clue"":2,""fig"":[""fig032""]},{""clue"":3,""fig"":[""fig002""]}]', 'CurrentLevel': '', 'CaseDetails': ['exactly4emptysides', ['fig051', 'fig015', 'fig002', 'fig032', None, None, None, None], ['The culprit has atleast 4 straight sides', 'The culprit has less than 2 equal pairs of sides ', 'The culprit has less than 6 straight sides'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[""straight sides"",""equal pairs of sides""]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:7:25'}",1,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
2031030-mz30,policesquad,,2018-10-18 13:05:26,Mission 1,0:1:39,"{'ToolsClicked': '[""Equal Sides tool"",""Equal Sides tool"",""Right Angle tool"",""Right Angle tool"",""Right Angle tool"",""Equal Sides tool"",""Equal Sides tool"",""Equal Sides tool"",""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1equalpairsofsides', ['fig039', 'fig011', 'fig029', 'fig013', None, None, None, None], ['The culprit has no equal pairs of sides ', 'The culprit has less than 2 equal pairs of sides ', 'The culprit has exactly 1 right angle'], ['Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 20, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 3, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig039""]},{""clue"":1,""fig"":[""fig039""]},{""clue"":1,""fig"":[""fig039""]},{""clue"":3,""fig"":[""fig011""]}]', 'TimeSpentStage': '0:1:39', 'starTotal': 1, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig013""]},{""clue"":3,""fig"":[""fig029""]},{""clue"":1,""fig"":[""fig013""]},{""clue"":2,""fig"":[""fig011""]},{""clue"":2,""fig"":[""fig029""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
2031030-mz30,policesquad,,2018-10-18 13:07:52,Mission 1,0:2:26,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig022""]},{""clue"":2,""fig"":[""fig045""]},{""clue"":3,""fig"":[""fig033""]}]', 'CurrentLevel': '', 'CaseDetails': ['exactly3rightangles', ['fig022', 'fig045', 'fig033', 'fig047', None, None, None, None], ['The culprit has atleast 6 straight sides', 'The culprit has no equal pairs of sides ', 'The culprit has more than 4 straight sides'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[]', 'StagePlayed': 3, 'ReplayUsedNumber': 3, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:2:26'}",3,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
2031030-mz30,policesquad,,2018-10-18 13:14:20,Mission 1,0:6:11,"{'ToolsClicked': '[""Equal Sides tool"",""Equal Sides tool"",""Right Angle tool"",""Right Angle tool"",""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly4obtuseangles', ['fig061', 'fig047', 'fig052', 'fig014', 'fig051', 'fig054', None, None], ['The culprit has atleast 1 obtuse angle', 'The culprit has less than 3 equal pairs of sides ', 'The culprit has more than 5 straight sides', 'The culprit has less than 3 right angles', 'The culprit has less than 6 obtuse angles'], ['Correct', 'Correct', 'Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 100, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 4, 'ReplayUsedNumber': 3, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig052""]},{""clue"":3,""fig"":[""fig061""]},{""clue"":4,""fig"":[""fig054""]},{""clue"":5,""fig"":[""fig047""]}]', 'TimeSpentStage': '0:6:11', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig014""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",4,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
2031030-mz30,policesquad,,2018-10-18 13:18:17,Mission 1,0:3:56,"{'ToolsClicked': '[""Right Angle tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig067""]},{""clue"":2,""fig"":[""fig009""]}]', 'CurrentLevel': '', 'CaseDetails': ['exactly2acuteangles', ['fig009', 'fig068', 'fig071', 'fig031', 'fig041', 'fig067', None, None], ['The culprit has less than 2 right angles', 'The culprit has no right angle', 'The culprit has less than 3 right angles', 'The culprit has less than 3 acute angles', 'The culprit has more than 2 straight sides'], ['Incorrect', 'Incorrect', 'Incorrect', 'Correct', 'Correct']], 'scoreAchieved': 60, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 5, 'ReplayUsedNumber': 3, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":3,""fig"":[""fig071""]},{""clue"":4,""fig"":[""fig031""]},{""clue"":5,""fig"":[""fig068""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 100, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:56'}",5,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
2031030-mz30,policesquad,,2018-10-18 13:23:52,Mission 1,0:2:5,"{'ToolsClicked': '[""Right Angle tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1acuteangles', ['fig043', 'fig054', 'fig055', 'fig067', 'fig035', 'fig056', None, None], ['The culprit has less than 2 acute angles', 'The culprit has no right angle', 'The culprit has less than 3 right angles', 'The culprit has atleast 4 straight sides', 'The culprit has less than 3 acute angles'], ['Correct', 'Correct', 'Correct', 'Correct', 'Correct']], 'scoreAchieved': 100, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 5, 'ReplayUsedNumber': 5, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig067""]},{""clue"":1,""fig"":[""fig054""]},{""clue"":2,""fig"":[""fig067""]},{""clue"":3,""fig"":[""fig035""]},{""clue"":4,""fig"":[""fig056""]},{""clue"":5,""fig"":[""fig043""]}]', 'TimeSpentStage': '0:2:5', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig043""]},{""clue"":1,""fig"":[""fig055""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",5,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
2031030-mz30,policesquad,,2018-10-18 13:27:36,Mission 1,0:3:43,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig035""]},{""clue"":5,""fig"":[""fig009""]}]', 'CurrentLevel': '', 'CaseDetails': ['no1reflexangles', ['fig035', 'fig008', 'fig033', 'fig032', 'fig029', 'fig009', None, None], ['The culprit has more than 1 equal pairs of sides ', 'The culprit has atleast 1 right angle', 'The culprit has less than 3 acute angles', 'The culprit has no reflex angle', 'The culprit has less than 3 right angles'], ['Correct', 'Incorrect', 'Incorrect', 'Incorrect', 'Correct']], 'scoreAchieved': 60, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[""reflex angle""]', 'StagePlayed': 6, 'ReplayUsedNumber': 5, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig033""]},{""clue"":3,""fig"":[""fig008""]},{""clue"":4,""fig"":[""fig032""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:43'}",6,en,b8mcmeyburdw9mwvxkwhh2qurzgnrqtz,31678,m
