school_server_code,tool_name,createdat_start,createdat_end,current_mission,time_spent,appData,StagePlayed_new,language,session_id,user_id,domain
4152072-tg272,policesquad,,2018-12-18 12:56:35,Mission 1,2,"{'MissionsCompleted': [0, 0, 0, 0], 'statusCompleted': 'passed', 'CurrentLevel': '', 'event_type': 'stage_end', 'scoreAchieved': 30, 'CaseDetails': ['exactly3emptysides', ['fig045', 'fig009', 'fig007', 'fig031', None, None, None, None], ['అపరాధి ద్గగర ఉంది కంటే తక్కువ 6 భుజాలు'], ['']], 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'highScore': 30, 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'SessionTimeSpent': 2, 'starTotal': 0, 'helpScreenviewed': [0, 0, 0, 0], 'StorySkiped': False, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'GlossaryDownloaded': False, 'TimeSpentStage': 2}",1,te,c72pkl9eeox46o49oiguzldfpblj44i5,1125744,m
4152072-tg272,policesquad,,2018-12-18 12:56:35,Mission 1,2,"{'MissionsCompleted': [0, 0, 0, 0], 'statusCompleted': 'passed', 'CurrentLevel': '', 'event_type': 'stage_end', 'scoreAchieved': 30, 'CaseDetails': ['exactly3emptysides', ['fig045', 'fig009', 'fig007', 'fig031', None, None, None, None], ['అపరాధి ద్గగర ఉంది కంటే తక్కువ 6 భుజాలు'], ['']], 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'highScore': 30, 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'SessionTimeSpent': 2, 'starTotal': 0, 'helpScreenviewed': [0, 0, 0, 0], 'StorySkiped': False, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'GlossaryDownloaded': False, 'TimeSpentStage': 2}",1,te,c72pkl9eeox46o49oiguzldfpblj44i5,1125737,m
4152072-tg272,policesquad,,2018-12-18 12:27:20,Mission 1,0:1:49,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig049""]},{""clue"":1,""fig"":[""fig049""]},{""clue"":2,""fig"":[""fig016""]},{""clue"":3,""fig"":[""fig040""]}]', 'CurrentLevel': '', 'CaseDetails': ['exactly2equalpairsofsides', ['fig040', 'fig037', 'fig016', 'fig049', None, None, None, None], ['The culprit has more than 1 equal pairs of sides ', 'The culprit has atleast 5 straight sides', 'The culprit has less than 3 equal pairs of sides '], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 1, 'ReplayUsedNumber': 4, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig037"",""fig040"",""fig049""]},{""clue"":1,""fig"":[""fig037""]},{""clue"":1,""fig"":[""fig016""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:49'}",1,en,aanwh3rx0m7srdguldgyk1m5zw46a2rm,1125727,m
4152072-tg272,policesquad,,2018-12-18 12:30:45,Mission 1,0:3:24,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1rightangles', ['fig054', 'fig003', 'fig022', 'fig012', None, None, None, None], ['The culprit has atleast 4 straight sides', 'The culprit has no equal straight sides', 'The culprit has less than 5 straight sides'], ['Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 2, 'ReplayUsedNumber': 4, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig054""]},{""clue"":3,""fig"":[""fig003""]}]', 'TimeSpentStage': '0:3:24', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig012""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 30, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",2,en,aanwh3rx0m7srdguldgyk1m5zw46a2rm,1125727,m
4152072-tg272,policesquad,,2018-12-18 12:40:27,Mission 1,0:9:42,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig046""]},{""clue"":2,""fig"":[""fig014""]},{""clue"":3,""fig"":[""fig038""]}]', 'CurrentLevel': '', 'CaseDetails': ['exactly3rightangles', ['fig038', 'fig014', 'fig041', 'fig046', None, None, None, None], ['The culprit has no equal pairs of sides ', 'The culprit has more than 1 right angle', 'The culprit has less than 6 straight sides'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[]', 'StagePlayed': 3, 'ReplayUsedNumber': 4, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:9:42'}",3,en,aanwh3rx0m7srdguldgyk1m5zw46a2rm,1125727,m
4152072-tg272,policesquad,,2018-12-18 12:44:29,Mission 1,0:3:46,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly3obtuseangles', ['fig011', 'fig048', 'fig046', 'fig038', 'fig032', 'fig010', None, None], ['The culprit has atleast 1 obtuse angle', 'The culprit has more than 4 straight sides', 'The culprit has atleast 1 right angle', 'The culprit has exactly 2 equal pairs of sides ', 'The culprit has less than 6 obtuse angles'], ['Correct', 'Correct', 'Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 100, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 4, 'ReplayUsedNumber': 4, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig048""]},{""clue"":3,""fig"":[""fig010""]},{""clue"":4,""fig"":[""fig011""]},{""clue"":5,""fig"":[""fig032""]}]', 'TimeSpentStage': '0:3:46', 'starTotal': 1, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig046""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",4,en,aanwh3rx0m7srdguldgyk1m5zw46a2rm,1125727,m
4152072-tg272,policesquad,,2018-12-18 12:51:27,Mission 1,0:1:42,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig050""]},{""clue"":1,""fig"":[""fig050""]},{""clue"":3,""fig"":[""fig043""]},{""clue"":4,""fig"":[""fig014""]},{""clue"":1,""fig"":[""fig050""]},{""clue"":2,""fig"":[""fig014""]},{""clue"":3,""fig"":[""fig043""]},{""clue"":4,""fig"":[""fig024"",""fig019""]}]', 'CurrentLevel': '', 'CaseDetails': ['exactly1acuteangles', ['fig037', 'fig050', 'fig043', 'fig014', 'fig024', 'fig019', None, None], ['The culprit has more than 2 obtuse angles', 'The culprit has less than 6 straight sides', 'The culprit has atleast 2 obtuse angles', 'The culprit has atleast 1 acute angle'], ['Correct', 'Correct', 'Correct', 'Correct']], 'scoreAchieved': 100, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 5, 'ReplayUsedNumber': 6, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 1, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig043""]},{""clue"":3,""fig"":[""fig014""]},{""clue"":4,""fig"":[""fig024""]},{""clue"":2,""fig"":[""fig037""]},{""clue"":5,""fig"":[""fig024""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:42'}",5,en,aanwh3rx0m7srdguldgyk1m5zw46a2rm,1125727,m
4152072-tg272,policesquad,,2018-12-18 12:54:19,Mission 1,0:2:51,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['no1reflexangles', ['fig032', 'fig031', 'fig061', 'fig011', 'fig030', 'fig035', None, None], ['The culprit has less than 5 straight sides', 'The culprit has exactly 2 obtuse angles', 'The culprit has less than 2 right angles', 'The culprit has no reflex angle', 'The culprit has more than 1 acute angle'], ['Correct', 'Correct', 'Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 100, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 6, 'ReplayUsedNumber': 6, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig035""]},{""clue"":3,""fig"":[""fig030""]},{""clue"":4,""fig"":[""fig011""]},{""clue"":5,""fig"":[""fig031""]}]', 'TimeSpentStage': '0:2:51', 'starTotal': 1, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig032""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",6,en,aanwh3rx0m7srdguldgyk1m5zw46a2rm,1125727,m
4152072-tg272,policesquad,,2018-12-21 11:56:03,Mission 1,0:1:18,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'scoreAchieved': 20, 'CurrentLevel': '', 'CaseDetails': ['exactly2equalpairsofsides', ['fig071', 'fig015', 'fig027', 'fig047', None, None, None, None], ['The culprit has more than 3 straight sides', 'The culprit has exactly 2 equal pairs of sides ', 'The culprit has no curved sides'], ['', 'Incorrect', 'Incorrect']], 'CorrectRelease': '[]', 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'highScore': 20, 'HyperlinksClicked': '[]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig047""]},{""clue"":2,""fig"":[""fig015"",""fig027""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:18'}",1,en,vlff1rql6rmzr1y5nchuuogrjx6ttxf4,1125727,m
4152072-tg272,policesquad,,2018-12-18 12:56:35,Mission 1,2,"{'MissionsCompleted': [0, 0, 0, 0], 'statusCompleted': 'passed', 'CurrentLevel': '', 'event_type': 'stage_end', 'scoreAchieved': 30, 'CaseDetails': ['exactly3emptysides', ['fig045', 'fig009', 'fig007', 'fig031', None, None, None, None], ['అపరాధి ద్గగర ఉంది కంటే తక్కువ 6 భుజాలు'], ['']], 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'highScore': 30, 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfClues': '', 'SessionTimeSpent': 2, 'starTotal': 0, 'helpScreenviewed': [0, 0, 0, 0], 'StorySkiped': False, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'GlossaryDownloaded': False, 'TimeSpentStage': 2}",1,te,c72pkl9eeox46o49oiguzldfpblj44i5,1125731,m
