state_entry,district_entry,school_name,school_code,subject,teaacher_code,uid,section_b,age,teacher_gender,edu_qual,qual_bechalore,qual_master,teacher_profqual,teacher_sub,years_sub_taughtel13,years_sub_taughtyears_language,years_sub_taughtyears_english,years_sub_taughtyears_math,years_sub_taughtyears_science,years_sub_taughtyears_socialstud,years_sub_taughtyears_othet,appointment,other,residence,section_c,pedagogyel16,pedagogypeda_el1,pedagogypeda_el2,pedagogypeda_el3,pedagogypeda_el4,pedagogypeda_el5,pedagogypeda_el6,pedagogypeda_el7,pedagogypeda_el8,pedagogypeda_el9,interactionsel17,interactionsinteract_el1,interactionsinteract_el2,interactionsinteract_el3,interactionsinteract_el4,interactionsinteract_el5,interactionsinteract_el6,interactionsinteract_el7,interactionsinteract_el8,interactionsinteract_el9,interactionsinteract_el10,section_d,accessmob_el18,accessapps_el19,accesscomp_el20,accessdata_el21,duration,rankel23,ranku_imp,ranku_imp_1,ranku_imp_2,ranku_imp_3,usageu_td,usageel24,usageel24_1,usageel24_2,usageel24_3,usageel24_4,usageel24_5,usageel24_6,usageel24_7,usageel24_8,usageel24_9,usageel24_10,usageel24_11,ictel25,ictict_el25_1,ictict_el25_2,ictict_el25_3,ictict_el25_4,ictict_el25_5,ictict_el25_6,ictict_el25_7,ictict_el25_8,ictict_el25_9,ictict_el25_10,ictict_el25_11,ictict_el25_12,el26,el27,section_e,digital_skillsel28,digital_skillsel28_1,digital_skillsel28_2,digital_skillsel28_3,digital_skillsel28_4,digital_skillsel28_5,digital_skillsel28_6,digital_skillsel28_7,digital_skillsel28_8,digital_skillsel28_9,digital_skillsel28_10,digital_skillsel28_11,digital_skillsel28_12,digital_skillsel28_13,digital_skillsel28_14,digital_skillsel28_15,digital_skillsel28_16,digital_skillsel28_17,digital_skillsel28_18,digital_skillsel28_19,digital_skillsel28_20,digital_skillsel28_21,digital_skillsel28_22,digital_skillsel28_23,digital_skillsel28_24,digi_citizenship,dcel29,dcdc_el29_1,dcdc_el29_2,dcdc_el29_3,dcdc_el29_4,dcdc_el29_5,dcdc_el29_6,dc_30el30,dc_30el30_1,dc_30el30_2,dc_30el30_3,dc_30el30_4,dc_30el30_5,dc_30el30_6,section_f,pd,el31,prof_devel32,prof_devel32_1,prof_devel32_2,section_g,beliefsel33,beliefsbeliefs_1,beliefsbeliefs_2,beliefsbeliefs_3,beliefsbeliefs_4,beliefsbeliefs_5,beliefsbeliefs_6,beliefsbeliefs_7,beliefsbeliefs_8,beliefsbeliefs_9,beliefsbeliefs_10,beliefsbeliefs_11,beliefsbeliefs_12,beliefsbeliefs_13,beliefsbeliefs_14,beliefsbeliefs_15,beliefsbeliefs_16,beliefsbeliefs_17,section_h,challengeel34,challengechl_1,challengechl_2,challengechl_3,challengechl_4,challengechl_5,challengechl_6,challengechl_7,challengechl_8,challengechl_9,challengechl_10,challengechl_11,challengechl_12,challengechl_13,teacher_interest,student_interestel36,student_interestel36_1,student_interestel36_2,section_i,english_dp1el37,english_dp1el_e37_1,english_dp1el_e37_2,english_dp1el_e37_3,english_dp1el_e37_4,english_dp1el_e37_5,english_dp1el_e37_6,english_dp1el_e37_7,maths_dp1el37_m,maths_dp1el_m37_1,maths_dp1el_m37_2,maths_dp1el_m37_3,maths_dp1el_m37_4,maths_dp1el_m37_5,maths_dp1el_m37_6,maths_dp1el_m37_7,sci_dp1el37_sc,sci_dp1el_sci37_1,sci_dp1el_sci37_2,sci_dp1el_sci37_3,sci_dp1el_sci37_4,sci_dp1el_sci37_5,sci_dp1el_sci37_6,sci_dp1el_sci37_7,english_dp2el38_e,english_dp2el_e38_1,english_dp2el_e38_2,english_dp2el_e38_3,english_dp2el_e38_4,english_dp2el_e38_5,english_dp2el_e38_6,english_dp2el_e38_7,english_dp2el_e38_8,english_dp2el_e38_9,maths_dp2el38_m,maths_dp2el_m38_1,maths_dp2el_m38_2,maths_dp2el_m38_3,maths_dp2el_m38_4,maths_dp2el_m38_5,maths_dp2el_m38_6,maths_dp2el_m38_7,maths_dp2el_m38_8,maths_dp2el_m38_9,maths_dp2el_m38_10,maths_dp2el_m38_11,maths_dp2el_m38_12,sci_dp2el38_sci,sci_dp2el_sci38_1,sci_dp2el_sci38_2,sci_dp2el_sci38_3,sci_dp2el_sci38_4,sci_dp2el_sci38_5,sci_dp2el_sci38_6,sci_dp2el_sci38_7,sci_dp2el_sci38_8,sci_dp2el_sci38_9,sci_dp2el_sci38_10,sci_dp2el_sci38_11,tpd_it,section_je,ict_views_eel40_e,ict_views_eel40_1_e,ict_views_eel40_2_e,ict_views_eel40_3_e,ict_views_eel40_4_e,ict_views_eel40_5_e,ict_views_eel40_6_e,fb,el5attend_i2c,el5el5_1_attend_i2c,el5el5_2_attend_i2c,el5el5_3_attend_i2c,el5el5_4_attend_i2c,el6attend_clixsubject,el6el6_1_attend_clixsubject,el6el6_2_attend_clixsubject,el6el6_3_attend_clixsubject,el6el6_4_attend_clixsubject,el7_govt_resource,el8_received_resource,el9computer_teaching,el9el9_1_computer_teaching,el9el9_2_computer_teaching,el9el9_3_computer_teaching,el9el9_4_computer_teaching,el9el9_5_computer_teaching,el10inputs_clix,el10el10_1_inputs_clix,el10el10_2_inputs_clix,el10el10_3_inputs_clix,el10el10_4_inputs_clix,el10el10_5_inputs_clix,el11supporting_clix,el11el11_1_supporting_clix,el11el11_2_supporting_clix,el11el11_3_supporting_clix,el11el11_4_supporting_clix,el11el11_5_supporting_clix,el11el11_6_supporting_clix,el11el11_7_supporting_clix,el11el11_8_supporting_clix,el11el11_9_supporting_clix,el11el11_10_supporting_clix,el12engagement_clix,el12el12_1_engagement_clix,el12el12_2_engagement_clix,el12el12_3_engagement_clix,el12el12_4_engagement_clix,el12el12_5_engagement_clix,el12el12_6_engagement_clix,el12el12_7_engagement_clix,el12el12_8_engagement_clix,el12el12_9_engagement_clix,el12el12_10_engagement_clix,el13extent_implclix,el13el13_1_extent_implclix,el13el13_2_extent_implclix,el13el13_3_extent_implclix,el13el13_4_extent_implclix,el13el13_5_extent_implclix,el13el13_6_extent_implclix,el14clix_quality,el14note_rank,el14el14_1_clix_quality,el14el14_2_clix_quality,el14el14_3_clix_quality,el14el14_4_clix_quality,el14el14_5_clix_quality,el14el14_6_clix_quality,el14el14_7_clix_quality,el14el14_8_clix_quality,el14el14_9_clix_quality,el14el14_10_clix_quality,el14el14_11_clix_quality,el14el14_12_clix_quality,el14el14_13_clix_quality,el14el14_14_clix_quality,el14el14_15_clix_quality,el14el14_16_clix_quality,el15clix_relevant,el15q15_note,el15el15_1_clix_relevant,el15el15_2_clix_relevant,el15el15_3_clix_relevant,el15el15_4_clix_relevant,el15el15_5_clix_relevant,el15el15_6_clix_relevant,el15el15_7_clix_relevant,el15el15_8_clix_relevant,el15el15_9_clix_relevant,el15el15_10_clix_relevant,el15el15_11_clix_relevant,el15el15_12_clix_relevant,el15el15_13_clix_relevant,el15el15_14_clix_relevant,el15el15_15_clix_relevant,el15el15_16clix_relevant,el16status_rtict,el16el16_1_status_rtict,el16el16_2_status_rtict,el17experience_clix,el17el17_1_experience_clix,el17el17_2_experience_clix,el17el17_3_experience_clix,el17el17_4_experience_clix,el17el17_5_experience_clix,el18_rtict_course,el19rtict_experience,el19el19_1_rtict_experience,el19el19_2_rtict_experience,el19el19_3_rtict_experience,el20_clix_cop,el21_post_cop,el22exp_copgroup,el22el22_1_exp_copgroup,el22el22_2_exp_copgroup,el22el22_3_exp_copgroup,el23_part_cop,el24_clixteaching_technq,el25feedback,el25el25_1_feedback,el25el25_2_feedback,el25el25_3_feedback,el25el25_4_feedback,el26_official_curriculum,el27_continue_clix,el28_own_clix,el29_concerns_clix
4,8,zphs(girls) bejjanaki,205,1,74,4820574,,53,1,4,5,5,2,2,,0,13,0,0,5,0,1,,4,,,2,2,2,2,2,2,2,2,2,,2,2,3,3,3,2,2,2,2,2,,1,1,2,2,0,,,At computer center/cafe,At home,At school,,,2,4,1,1,2,2,1,2,1,1,1,,1,2,1,1,2,2,1,1,1,2,1,2,1,2,,,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,4,4,4,5,5,5,,,3,2,2,3,3,2,,1,1,2,2,1,1,,,2,,,,,,2,3,2,2,2,2,2,2,3,2,2,2,1,2,2,2,3,,,2,2,1,1,1,1,1,1,1,1,1,2,1,3,,5,4,,,1,2,3,1,1,3,3,,,,,,,,,,,,,,,,,,4,2,4,2,4,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,2,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,Zpss bhanjipet,103,1,74,41010374,,56,1,3,5,2,2,2,,0,10,0,0,0,0,1,,4,,,2,1,1,2,1,2,2,3,2,,1,3,4,3,4,1,1,2,1,1,,1,1,1,1,24,,,At home,At school,At computer center/cafe,,,3,4,1,4,1,1,1,2,1,4,1,,2,2,1,1,2,2,1,2,1,3,1,2,2,2,,,5,5,3,2,2,4,5,5,3,3,1,5,5,4,3,4,5,3,5,3,2,4,3,1,,,2,1,3,2,2,3,,1,1,1,1,1,1,,,1,2,,,,,2,3,2,2,2,2,3,3,2,3,2,2,2,4,3,3,4,,,2,1,1,5,4,4,3,4,3,3,3,4,3,4,,5,4,,,1,4,1,1,1,1,2,,,,,,,,,,,,,,,,,,4,3,4,4,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,GHS Sawaran Karimnagar,209,1,74,4820974,,45,1,3,2,2,1,2,,5,10,0,1,4,0,1,,1,,,2,1,1,1,1,1,1,2,1,,3,3,4,3,3,3,3,3,3,3,,1,1,1,1,60,,,At home,At school,At computer center/cafe,,,5,2,1,1,5,1,2,5,1,3,1,,2,2,1,2,1,4,2,1,1,2,1,2,2,1,,,2,1,5,2,3,5,3,5,3,1,1,5,5,1,1,3,5,5,5,3,1,5,5,5,,,3,2,2,1,1,2,,1,1,1,1,1,1,,,1,1,2,3,,,2,2,2,2,2,2,1,1,3,2,2,1,1,2,2,1,2,,,1,1,1,2,2,2,1,2,2,1,1,2,2,3,,2,3,,,2,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,2,4,3,4,4,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,3,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,ZPHS Roopkhanpet,304,1,74,4930474,,38,1,5,2,2,2,2,,0,11,0,0,0,0,1,,3,,,2,2,1,2,2,1,2,2,2,,3,2,2,2,3,2,3,2,3,3,,1,1,1,1,18,,,At home,At computer center/cafe,At school,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,,2,2,2,3,3,4,4,4,2,4,2,4,4,4,4,4,3,3,3,5,3,2,3,4,,,3,2,2,3,3,2,,1,1,1,1,1,1,,,2,,,,,,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,,,2,3,2,3,4,2,3,2,3,1,2,2,2,5,,4,5,,,2,2,1,3,3,2,2,,,,,,,,,,,,,,,,,,2,2,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,Zpss boys Dharmsagar,105,1,70,41010570,,50,1,3,2,2,1,2,,0,28,0,0,0,0,1,,2,,,1,2,2,1,1,2,1,2,1,,2,2,4,4,1,1,1,3,1,1,,1,1,1,1,60,,,At school,At home,At computer center/cafe,,,5,5,5,1,1,1,1,4,1,4,1,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,1,1,2,2,3,3,2,4,3,3,1,5,2,1,1,1,1,1,1,3,1,2,2,1,,,2,2,2,2,1,3,,1,1,1,1,1,1,,,2,,,,,,1,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,,,2,2,2,1,1,1,2,1,1,1,2,4,2,5,,2,2,,,1,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,1,4,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,2,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,ZPHS Pegadapall,106,1,70,41010670,,49,1,4,4,2,2,2,,0,9,0,0,0,0,1,,2,,,2,1,1,1,1,2,1,3,1,,1,1,2,2,1,1,1,1,1,1,,1,1,2,1,5,,,At school,At computer center/cafe,At home,,,3,3,1,3,2,4,3,3,1,4,1,,1,3,1,2,2,3,1,1,1,1,1,3,2,1,,,3,5,3,1,3,5,3,3,2,3,3,5,5,5,5,5,5,5,3,3,3,3,3,5,,,3,2,2,3,3,3,,2,1,2,2,1,1,,,2,,,,,,2,3,2,2,1,2,1,4,4,1,2,1,3,3,2,3,4,,,2,1,1,2,2,1,4,4,2,4,1,3,3,5,,5,5,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,4,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,Zphs mannempally Karimnagar,208,1,74,4820874,,46,1,4,2,2,2,2,,0,10,0,0,0,0,1,,3,,,2,2,2,2,1,2,1,2,1,,2,2,4,3,2,2,2,3,2,3,,1,1,2,1,1,,,At computer center/cafe,At school,At home,,,1,2,1,5,2,4,1,4,1,1,1,,1,3,1,3,3,3,1,3,1,2,3,3,1,3,,,3,3,5,1,5,5,5,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,3,,,3,2,2,2,2,3,,1,1,2,2,1,1,,,2,,,,,,1,2,2,1,1,3,1,2,4,1,2,2,1,2,2,1,2,,,1,1,1,2,1,2,4,2,2,1,1,1,1,4,,5,4,,,2,3,3,2,2,3,3,,,,,,,,,,,,,,,,,,3,2,2,4,3,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,2,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,Ghs kazipet jageer,108,1,70,41010870,,53,1,3,2,2,1,2,,0,19,0,0,0,0,1,,1,,,2,2,2,2,1,1,2,3,2,,1,2,4,3,3,2,2,2,1,2,,1,1,2,1,48,,,At school,At home,At computer center/cafe,,,2,4,1,4,1,1,4,1,1,4,1,,2,3,1,1,1,1,3,1,1,3,1,1,3,2,,,2,3,3,1,3,3,5,5,5,3,2,3,3,2,2,5,5,5,5,5,2,5,5,3,,,3,2,3,3,3,3,,1,1,1,1,1,1,,,1,2,,,,,1,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,3,,,1,2,1,1,1,1,1,2,2,2,2,1,1,3,,3,3,,,2,2,2,1,3,2,3,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,zphs nittour,201,1,74,4820174,,37,2,4,2,2,2,2,,0,11,0,0,0,0,1,,4,,,2,1,1,2,1,2,2,1,1,,3,3,4,4,3,2,2,3,1,1,,1,1,1,1,,,,At computer center/cafe,At school,At home,,,4,1,1,1,1,2,1,2,1,5,1,,2,3,1,1,1,2,2,1,1,2,1,3,1,2,,,4,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,1,5,5,,,3,2,2,3,2,3,,1,1,2,1,1,1,,,2,,,,,,2,3,2,2,2,2,2,3,2,2,2,2,1,2,2,2,3,,,1,1,2,1,1,2,2,1,3,4,2,2,3,5,,5,5,,,2,2,3,1,2,1,2,,,,,,,,,,,,,,,,,,4,2,4,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,2,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,ZPHS RAGAMPET,202,1,74,4820274,,46,1,3,2,2,2,2,,6,17,0,6,6,22,1,,3,,,1,2,1,1,1,1,1,2,2,,1,2,4,3,2,1,1,3,1,1,,1,1,2,1,0,,,At home,At school,At computer center/cafe,,,5,4,1,1,1,1,1,5,1,1,1,,1,1,1,1,1,3,2,1,1,1,1,1,3,2,,,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,3,3,5,5,5,,,3,3,2,3,3,3,,1,1,2,2,1,1,,,2,,,,,,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,,,2,1,2,3,4,4,3,4,4,4,4,4,4,3,,4,4,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,4,4,4,4,4,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
