,school_server_code,level_1,domain,duration_weeks,teacher_uids,event
0,1011001-ct1,0,English,13,"11100112,11100132,35100130,35100120,35100110",1
1,1011001-ct1,1,Math,9,"11100112,11100132,35100130,35100120,35100110",1
2,1011001-ct1,2,Science,15,"11100112,11100132,35100130,35100120,35100110",1
3,1011003-ct3,0,Math,5,"23100310,23100312,23100332,35100314,35100334,35100320",1
4,1011003-ct3,1,Science,1,"23100310,23100312,23100332,35100314,35100334,35100320",1
5,1011004-ct4,0,English,14,"11100410,11100430,11100420,23100430,23100410",1
6,1011004-ct4,1,Math,2,"11100410,11100430,11100420,23100430,23100410",1
7,1011004-ct4,2,Science,6,"11100410,11100430,11100420,23100430,23100410",1
8,1011005-ct5,0,English,8,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
9,1011005-ct5,1,Math,2,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
10,1011005-ct5,2,Science,4,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
11,1011006-ct6,0,English,5,"11100630,11100611,11100620,23100610,23100630,23100621,23100620,23100612",1
12,1011006-ct6,1,Math,5,"11100630,11100611,11100620,23100610,23100630,23100621,23100620,23100612",1
13,1011006-ct6,2,Science,7,"11100630,11100611,11100620,23100610,23100630,23100621,23100620,23100612",1
14,1011007-ct7,0,English,3,"11100724,11100710,11100730,23100720,23100710,23100730",1
15,1011007-ct7,1,Math,2,"11100724,11100710,11100730,23100720,23100710,23100730",1
16,1011007-ct7,2,Science,7,"11100724,11100710,11100730,23100720,23100710,23100730",1
17,1011008-ct8,0,English,2,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
18,1011008-ct8,1,Math,1,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
19,1011008-ct8,2,Science,2,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
20,1011009-ct9,0,English,11,"11100930,11100921,11100910,23100921,23100910,23100931,35100934,35100914,35100920",1
21,1011009-ct9,1,Math,12,"11100930,11100921,11100910,23100921,23100910,23100931,35100934,35100914,35100920",1
22,1011009-ct9,2,Science,6,"11100930,11100921,11100910,23100921,23100910,23100931,35100934,35100914,35100920",1
23,1011010-ct10,0,English,3,"23101010,23101031",1
