,school_server_code,level_1,tool_name,duration_weeks,event
0,-ct31,0,ages_puzzle,1,1
1,-ct31,1,astroamer_element_hunt_activity,3,1
2,-ct31,2,coins_puzzle,1,1
3,-ct31,3,factorisation,3,1
4,-ct31,4,food_sharing_tool,10,1
5,-ct31,5,ice,2,1
6,-ct31,6,rationpatterns,5,1
7,-ct32,0,policesquad,7,1
8,-ct33,0,astroamer_element_hunt_activity,1,1
9,-ct33,1,factorisation,2,1
10,-ct33,2,food_sharing_tool,8,1
11,-ct33,3,policesquad,2,1
12,-ct34,0,ages_puzzle,1,1
13,-ct34,1,astroamer_element_hunt_activity,2,1
14,-ct34,2,astroamer_moon_track,1,1
15,-ct34,3,food_sharing_tool,1,1
16,1011001-ct1,0,ages_puzzle,1,1
17,1011001-ct1,1,astroamer_element_hunt_activity,4,1
18,1011001-ct1,2,coins_puzzle,3,1
19,1011001-ct1,3,factorisation,2,1
20,1011001-ct1,4,food_sharing_tool,2,1
21,1011001-ct1,5,policesquad,2,1
22,1011003-ct3,0,policesquad,3,1
23,1011004-ct4,0,ice,1,1
24,1011005-ct5,0,factorisation,1,1
25,1011006-ct6,0,astroamer_element_hunt_activity,2,1
26,1011006-ct6,1,food_sharing_tool,1,1
27,1011007-ct7,0,food_sharing_tool,1,1
28,1011008-ct8,0,astroamer_element_hunt_activity,1,1
29,1011009-ct9,0,food_sharing_tool,2,1
30,1011009-ct9,1,policesquad,8,1
31,1011010-ct10,0,astroamer_element_hunt_activity,1,1
32,1011010-ct10,1,factorisation,1,1
33,1011010-ct10,2,food_sharing_tool,1,1
34,1011011-ct11,0,food_sharing_tool,2,1
35,1011011-ct11,1,policesquad,3,1
36,1011013-ct13,0,factorisation,1,1
37,1011013-ct13,1,policesquad,1,1
38,1011014-ct14,0,coins_puzzle,1,1
39,1011014-ct14,1,policesquad,2,1
40,1011016-ct16,0,ages_puzzle,1,1
41,1011016-ct16,1,factorisation,1,1
42,1011016-ct16,2,food_sharing_tool,1,1
43,1011016-ct16,3,policesquad,2,1
44,1011017-ct17,0,astroamer_element_hunt_activity,2,1
45,1011017-ct17,1,policesquad,1,1
46,1011018-ct18,0,ages_puzzle,2,1
47,1011018-ct18,1,astroamer_element_hunt_activity,3,1
48,1011018-ct18,2,astroamer_planet_trek_activity,1,1
49,1011018-ct18,3,coins_puzzle,3,1
50,1011018-ct18,4,factorisation,3,1
51,1011018-ct18,5,food_sharing_tool,2,1
52,1011018-ct18,6,policesquad,9,1
53,1011019-ct19,0,ages_puzzle,1,1
54,1011019-ct19,1,food_sharing_tool,1,1
55,1011019-ct19,2,policesquad,7,1
56,1011020-ct20,0,ages_puzzle,1,1
57,1011020-ct20,1,coins_puzzle,1,1
58,1011020-ct20,2,food_sharing_tool,1,1
59,1011020-ct20,3,policesquad,8,1
60,1011022-ct22,0,policesquad,4,1
61,1011024-ct24,0,food_sharing_tool,1,1
62,1011024-ct24,1,policesquad,4,1
63,1011026-ct26,0,astroamer_element_hunt_activity,2,1
64,1011028-ct28,0,ages_puzzle,1,1
65,1011028-ct28,1,coins_puzzle,1,1
66,1011028-ct28,2,factorisation,1,1
67,1011028-ct28,3,food_sharing_tool,1,1
68,2031002-mz2,0,food_sharing_tool,3,1
69,2031002-mz2,1,policesquad,2,1
70,2031003-mz3,0,ages_puzzle,1,1
71,2031003-mz3,1,coins_puzzle,1,1
72,2031003-mz3,2,factorisation,1,1
73,2031003-mz3,3,food_sharing_tool,1,1
74,2031003-mz3,4,policesquad,2,1
75,2031004-mz4,0,policesquad,1,1
76,2031005-mz5,0,ages_puzzle,1,1
77,2031005-mz5,1,astroamer_element_hunt_activity,1,1
78,2031005-mz5,2,coins_puzzle,1,1
79,2031005-mz5,3,factorisation,1,1
80,2031005-mz5,4,food_sharing_tool,1,1
81,2031005-mz5,5,policesquad,1,1
82,2031007-mz7,0,food_sharing_tool,1,1
83,2031007-mz7,1,policesquad,2,1
84,2031008-mz8,0,astroamer_element_hunt_activity,1,1
85,2031008-mz8,1,food_sharing_tool,2,1
86,2031008-mz8,2,policesquad,1,1
87,2031009-mz9,0,ages_puzzle,2,1
88,2031009-mz9,1,astroamer_element_hunt_activity,3,1
89,2031009-mz9,2,astroamer_planet_trek_activity,1,1
90,2031009-mz9,3,coins_puzzle,2,1
91,2031009-mz9,4,factorisation,1,1
92,2031009-mz9,5,food_sharing_tool,4,1
93,2031009-mz9,6,policesquad,5,1
94,2031009-mz9,7,rationpatterns,1,1
95,2031011-mz11,0,ice,1,1
96,2031011-mz11,1,policesquad,4,1
97,2031013-mz13,0,food_sharing_tool,4,1
98,2031013-mz13,1,policesquad,1,1
99,2031014-mz14,0,policesquad,3,1
100,2031016-mz16,0,ages_puzzle,1,1
101,2031016-mz16,1,coins_puzzle,1,1
102,2031016-mz16,2,factorisation,1,1
103,2031016-mz16,3,food_sharing_tool,1,1
104,2031016-mz16,4,policesquad,1,1
105,2031017-mz17,0,coins_puzzle,1,1
106,2031017-mz17,1,food_sharing_tool,1,1
107,2031021-mz21,0,ages_puzzle,1,1
108,2031021-mz21,1,coins_puzzle,1,1
109,2031021-mz21,2,policesquad,1,1
110,2031023-mz23,0,food_sharing_tool,2,1
111,2031023-mz23,1,policesquad,2,1
112,2031027-mz27,0,policesquad,3,1
113,2031028-mz28,0,food_sharing_tool,1,1
114,2031029-mz29,0,astroamer_element_hunt_activity,2,1
115,2031029-mz29,1,food_sharing_tool,1,1
116,2031030-mz30,0,ages_puzzle,1,1
117,2031030-mz30,1,coins_puzzle,1,1
118,2031030-mz30,2,food_sharing_tool,1,1
119,2031030-mz30,3,policesquad,3,1
120,3051001-rj1,0,ages_puzzle,1,1
121,3051001-rj1,1,astroamer_element_hunt_activity,2,1
122,3051001-rj1,2,factorisation,2,1
123,3051001-rj1,3,food_sharing_tool,3,1
124,3051002-rj2,0,astroamer_element_hunt_activity,4,1
125,3051002-rj2,1,astroamer_planet_trek_activity,1,1
126,3051002-rj2,2,food_sharing_tool,1,1
127,3051004-rj4,0,astroamer_element_hunt_activity,2,1
128,3051004-rj4,1,factorisation,1,1
129,3051006-rj6,0,astroamer_element_hunt_activity,5,1
130,3051006-rj6,1,astroamer_moon_track,1,1
131,3051006-rj6,2,astroamer_planet_trek_activity,1,1
132,3051006-rj6,3,food_sharing_tool,2,1
133,3051006-rj6,4,policesquad,1,1
134,3051010-rj10,0,astroamer_element_hunt_activity,2,1
135,3051010-rj10,1,food_sharing_tool,1,1
136,3051011-rj11,0,astroamer_element_hunt_activity,2,1
137,3051013-rj13,0,food_sharing_tool,2,1
138,3051013-rj13,1,policesquad,2,1
139,3051014-rj14,0,ages_puzzle,1,1
140,3051014-rj14,1,astroamer_element_hunt_activity,1,1
141,3051014-rj14,2,coins_puzzle,1,1
142,3051014-rj14,3,factorisation,1,1
143,3051014-rj14,4,food_sharing_tool,1,1
144,3051014-rj14,5,rationpatterns,1,1
145,3051015-rj15,0,astroamer_element_hunt_activity,1,1
146,3051018-rj18,0,ages_puzzle,1,1
147,3051018-rj18,1,coins_puzzle,1,1
148,3051018-rj18,2,factorisation,1,1
149,3051018-rj18,3,food_sharing_tool,1,1
150,3051018-rj18,4,rationpatterns,1,1
151,3051022-rj22,0,astroamer_element_hunt_activity,2,1
152,3051022-rj22,1,factorisation,1,1
153,3051022-rj22,2,policesquad,2,1
154,3051024-rj24,0,ages_puzzle,1,1
155,3051024-rj24,1,coins_puzzle,1,1
156,3051024-rj24,2,factorisation,2,1
157,3051025-rj25,0,food_sharing_tool,2,1
158,3051025-rj25,1,policesquad,2,1
159,3051026-rj26,0,astroamer_element_hunt_activity,2,1
160,3051026-rj26,1,food_sharing_tool,4,1
161,3051026-rj26,2,policesquad,2,1
162,3051027-rj27,0,astroamer_element_hunt_activity,2,1
